Position,Qty,U/L Price,U/L Change,Mark,Mark Chg,Net Cost Basis,Today's Net Gain,Open Net Gain,Market Value,Bid,Ask,Earnings Date
ADYEY shares,14,15.04,-0.06,15.04,-0.06,8.675,-0.84,89.11,210.56,0,0,--
AMZN shares,1,184.76,-0.37,184.76,-0.37,97.38,-0.37,87.38,184.76,184.85,184.9,10/24/24
ASML shares,1,832.19,9.84,832.19,9.84,578,9.84,254.19,832.19,832,839.5,10/16/24
BYND shares,5,6.71,0.31,6.71,0.31,6.658,1.55,0.26,33.55,6.79,6.82,11/6/24
CHWY shares,23,28.83,-0.53,28.83,-0.53,25.536956,-12.19,75.740012,663.09,28.83,28.9,12/4/24
DDOG shares,7,116.22,2.24,116.22,2.24,115.511428,15.68,4.960004,813.54,114.9,116.5,11/5/24
DOCU shares,1,62.33,0.91,62.33,0.91,41.85,0.91,20.48,62.33,62.4,62.68,12/5/24
EDIT shares,2,3.22,-0.05,3.22,-0.05,7.08,-0.1,-7.72,6.44,3.24,3.27,11/11/24
ELF shares,7,105.62,-0.35,105.62,-0.35,109.564285,-1.99,-27.609995,739.34,105.7,106.5,11/6/24
ETSY shares,3,51.84,-0.46,51.84,-0.46,97.03,-1.38,-135.57,155.52,51.84,52,10/30/24
FLGT shares,6,21.13,0.06,21.13,0.06,30.268333,0.36,-54.829998,126.78,20.78,21.53,11/1/24
FTNT shares,5,77.59,1.1,77.59,1.1,54.474,5.5,115.58,387.95,77.54,77.88,10/31/24
GGEI shares,39,0.0003,0.0001,0.0003,0.0001,1,0.0017,-38.9883,0.0117,0,0,--
GH shares,3,22.36,0.24,22.36,0.24,26.11,0.72,-11.25,67.08,22,22.76,11/7/24
GMED shares,11,69.98,-0.42,69.98,-0.42,53.710909,-4.62,178.960001,769.78,68.38,71.6,11/5/24
GOOG shares,5,167.31,-1.11,167.31,-1.11,138.178,-5.55,145.66,836.55,167.3,167.47,10/22/24
HDB shares,11,62.32,-0.07,62.32,-0.07,57.75,-0.77,50.27,685.52,62.01,62.72,10/19/24
ISRG shares,3,486.62,1.86,486.62,1.86,275.16,5.58,634.38,1459.86,486.64,488,10/17/24
JD shares,1,44.8,1.87,44.8,1.87,39.98,1.87,4.82,44.8,45.1,45.13,11/21/24
KNSL shares,2,476.12,-0.12,476.12,-0.12,445.44,-0.24,61.36,952.24,467.53,490,10/24/24
LRCX shares,2,814.09,16.71,814.09,16.71,314.8,33.42,998.58,1628.18,815.13,824.35,10/23/24
LULU shares,4,260.53,-5.92,260.53,-5.92,357.9,-23.68,-389.48,1042.12,260.6,261.45,12/5/24
MASI shares,3,135.54,1.14,135.54,1.14,114.286666,3.42,63.760002,406.62,131.35,138,11/5/24
MDB shares,3,254.38,-3.25,254.38,-3.25,142.38,-9.75,336,763.14,254.48,255,12/3/24
MIY shares,24,12.05,-0.01,12.05,-0.01,10.6625,-0.24,33.3,289.2,11.81,12.43,--
MNST shares,1,50.94,-0.65,50.94,-0.65,50.89,-0.65,0.05,50.94,50.6,51.92,10/31/24
MTCH shares,2,37.45,-0.08,37.45,-0.08,33.24,-0.16,8.42,74.9,37.4,37.81,11/5/24
NVCR shares,10,15.5,0.61,15.5,0.61,25.272,6.1,-97.72,155,15.31,15.73,10/30/24
OKTA shares,2,72.39,-0.19,72.39,-0.19,146.7,-0.38,-148.62,144.78,72.39,72.97,11/27/24
OPEN shares,10,1.9,--,1.9,0,1.74,--,1.6,19,1.92,1.93,10/31/24
PAYC shares,4,166.73,0.42,166.73,0.42,240.75,1.68,-296.08,666.92,162.15,169.95,10/29/24
POWW shares,300,1.36,--,1.36,0,2.16,5.68E-14,-240,408,1.36,1.4,11/7/24
PTON shares,12,4.62,0.28,4.62,0.28,21,3.36,-196.56,55.44,4.61,4.64,10/31/24
QDEL shares,3,44.45,0.24,44.45,0.24,71.8,0.72,-82.05,133.35,43.93,45.08,10/30/24
RDFN shares,13,11.71,-0.84,11.71,-0.84,11.03,-10.92,8.84,152.23,11.75,11.78,10/31/24
RMD shares,3,238.86,0.11,238.86,0.11,173.15,0.33,197.13,716.58,231,251.47,10/24/24
SE shares,28,95.3,-2.19,95.3,-2.19,40.413928,-61.32,1536.810016,2668.4,95.3,95.64,11/12/24
TDOC shares,9,8.73,-0.13,8.73,-0.13,18.57,-1.17,-88.56,78.57,8.76,8.79,10/22/24
TEAM shares,3,160.24,-1.18,160.24,-1.18,119.006666,-3.54,123.700002,480.72,160.24,162,10/31/24
TECH shares,4,77.43,-0.74,77.43,-0.74,63.49,-2.96,55.76,309.72,76.3,78.57,10/31/24
TTC shares,2,87.03,0.98,87.03,0.98,90.17,1.96,-6.28,174.06,86.74,87.57,12/19/24
TTWO shares,1,151.37,0.89,151.37,0.89,120.22,0.89,31.15,151.37,151,152,11/7/24
TYL shares,1,584.11,5.47,584.11,5.47,293.53,5.47,290.58,584.11,457.02,643.35,10/30/24
ULTA shares,4,373.88,-5.25,373.88,-5.25,443.91,-21,-280.12,1495.52,374.44,374.98,12/5/24
UNH shares,3,592.31,9.01,592.31,9.01,462,27.03,390.93,1776.93,591.5,598.35,10/15/24
UPST shares,3,38.94,1.16,38.94,1.16,32.88,3.48,18.18,116.82,39,39.09,11/5/24
VRTS shares,2,204.95,-0.18,204.95,-0.18,171.295,-0.36,67.31,409.9,200.78,267.79,10/25/24
XPEV shares,1,13.34,0.49,13.34,0.49,9.68,0.49,3.66,13.34,13.41,13.42,11/14/24
ZM shares,6,67.61,-1.03,67.61,-1.03,81.69,-6.18,-84.48,405.66,67.62,68.64,11/18/24
