,sharpe
AAAP,1.5098062355874249
ABBV,0.8332487001445026
AMZN,0.7633685797758957
ANET,0.9277070580364918
APH,0.7567471913526476
APPF,0.8287427483286851
ARES,0.8420523272363083
ATLX,0.7512305561582638
ATZAF,1.5184340650694887
AVGO,1.1356877229233222
AXON,0.7791980534055731
AZO,0.7557814595626529
BLD,0.8809550278523111
BLFS,0.7769967675014997
BMC,1.1433593125897747
BYRN,0.7425187040197114
CANI,0.9054469616158486
CDW,0.7673161900614812
CEG,1.3925671933990866
COBH,1.0138184007484288
CRWD,0.8786577940665107
CVGR,0.8165187411838659
CWAY,1.2659490040739998
CXPO,1.4063146413622132
CYBR,0.7599677184722995
DPZ,0.7408960102268938
ED,0.7731452452839244
EMLB,0.748352541852597
EMP,1.8401688314454618
ENSG,0.7460726501178017
EP,0.7984147877395859
ERT,1.3788491280116626
FAST,0.7427537462917707
FBG,1.1982093473313384
FIBG,0.8076359007096612
FN,0.7497830889360024
FSV,0.7527642323537935
FTAI,0.8615658435545287
FTNT,0.8058298439256343
GOOG,0.8983419029220063
HBE,2.614490197142773
HCA,0.7920912938257385
HD,0.804826339703093
HESAY,0.790675700858054
HLI,0.9607527281566424
HWM,0.9230353442490177
IBIT,0.922897231684254
IBP,0.8006154977469765
IDR,0.7483064143518365
IFOX,2.3443358452404977
IGS,1.920461342828843
IONQ,0.8076605742518196
ISTB,0.8282428842020328
KKR,0.7473977849806592
KNSL,1.0288170143134896
KSW,3.220776033258738
LFMD,0.8458105699628503
LITE,0.8080181144444245
LIXT,0.7737275247753511
LLSP,0.7632125507252054
MA,0.9301638862518705
MDB,0.8025038296488792
MDD,1.145221976322905
MO,0.7509459768516995
MSFT,0.8494150040840127
MUSA,0.7925747637699766
MZOR,0.8733202639372413
NET,0.9108368828410642
NFLX,0.7994711642795862
NOW,0.8553400668569879
NVDA,0.8266697404389295
OKLO,1.0581476559933864
ONES,1.4737393290901197
ORLY,0.7635386031097082
PANW,0.7945614640256399
PGR,0.8321239756671245
PLTR,1.1500193520983402
PRI,0.7497216129568686
QTUM,0.9434719363460278
RACE,0.8221435003832154
RCAT,1.060193531554021
RGTI,0.7935591646504383
RKLB,0.792272923195247
SERV,0.7638894551369831
SHOP,1.005973116577509
SMTI,0.8820140150241407
SO,0.7529409861375289
TDG,0.9444849227265053
TFCO,1.2847077653195498
TPS,2.2478051178343503
TSLA,0.9220127005129098
TSRX,0.8590510469908119
TTD,0.748186061072615
UI,0.7540678645131712
V,0.7923569241457477
VERT,1.248448324471504
VITA,0.849448176963741
WING,0.749879849297137
WMT,0.8208169160674577
ZOO,1.309562364544623
