stock,price,sim1_direction,sim2_direction,sim3_direction,sim4_direction,sim5_direction,RSI,RSIRev,fair_value_mult,geomean,sharpe
A,130.60000610351562,0,1,0,0,0,0.49639711769415534,0.5036028823058447,0.39052547770700635,0.44221105527638194,0.5529860761839751
AAON,109.3499984741211,0,0,0,0,0,0.07646116893514812,0.9235388310648519,0.005573248407643312,0.37018425460636517,0.6630900987830848
AAPL,312.6600036621094,1,1,1,1,1,0.6593274619695757,0.3406725380304243,0.9741242038216561,0.6666666666666666,1.0648602223481711
ABBV,254.75999450683594,1,1,1,1,1,0.8542834267413931,0.14571657325860687,0.9367038216560509,0.7600502512562815,0.8299224353420982
ABEV,3.069999933242798,0,0,0,0,0,0.29183346677341876,0.7081665332265812,0.27906050955414013,0.6633165829145728,0.10240872975495495
ABNB,147.64999389648438,1,1,1,1,1,0.8342981186685963,0.16570188133140373,0.7822349570200573,0.8679245283018868,0.23652701794640443
ABT,95.62999725341797,1,1,1,1,1,0.7954363490792634,0.20456365092073658,0.9625796178343949,0.10552763819095477,0.5536500077763181
ACGBY,16.799999237060547,0,0,0,0,0,0.02121697357886309,0.9787830264211369,0.01194267515923567,0.1670854271356784,0.6611408388949247
ACGL,101.80999755859375,1,1,1,1,1,0.9367493995196157,0.06325060048038433,0.9872611464968153,0.5992462311557789,0.6903751126750783
ACN,136.9600067138672,1,1,1,1,1,0.15972778222578063,0.8402722177742193,0.6687898089171974,0.0041876046901172526,0.2667731295335683
ADBE,218.07000732421875,1,1,1,1,1,0.4087269815852682,0.5912730184147318,0.7579617834394905,0.08333333333333333,0.4150491176451614
ADI,388.8299865722656,0,0,0,0,0,0.2233787029623699,0.77662129703763,0.07563694267515923,0.6896984924623115,0.8113393053157831
ADM,77.93000030517578,0,0,0,0,0,0.4851881505204163,0.5148118494795837,0.5720541401273885,0.792713567839196,0.47703766812900217
ADP,239.49000549316406,1,1,1,1,1,0.8106485188150521,0.18935148118494793,0.981687898089172,0.6712730318257957,0.5971741055698486
ADSK,207.5399932861328,1,1,1,1,1,0.37950360288230583,0.6204963971176942,0.6731687898089171,0.07495812395309882,0.555753249401125
ADUS,105.7300033569336,1,1,1,1,1,0.9879903923138511,0.012009607686148893,0.9665605095541401,0.4685929648241206,0.6396389205554865
ADYEY,9.850000381469727,1,1,1,1,1,0.43876337693222356,0.5612366230677764,0.6279481132075472,0.10687022900763359,0.3866933850851072
AEE,112.98999786376953,1,1,1,1,1,0.5248198558847078,0.4751801441152922,0.48686305732484075,0.5653266331658291,0.5928907713883806
AEO,16.5,1,1,0,1,1,0.28502802241793435,0.7149719775820657,0.19785031847133758,0.1444723618090452,0.3162371813904897
AEP,135.97999572753906,1,1,1,1,1,0.6257005604483586,0.37429943955164136,0.6811305732484076,0.8576214405360134,0.5878684602603174
AES,14.569999694824219,0,0,0,0,0,0.25900720576461167,0.7409927942353883,0.384156050955414,0.2847571189279732,0.33740850283084145
AFL,120.47000122070312,1,1,1,1,1,0.6705364291433147,0.3294635708566853,0.8152866242038217,0.6155778894472361,0.6933943783510317
AG,17.309999465942383,1,1,1,1,1,0.366293034427542,0.633706965572458,0.3893312101910828,0.03559463986599665,0.3371494706400394
AIFF,1.2799999713897705,0,0,0,0,0,0.20496397117694154,0.7950360288230585,0.17729083665338646,0.457286432160804,0.5557979910237383
AIG,80.75,1,1,1,1,1,0.9171337069655725,0.0828662930344275,0.9721337579617835,0.5958961474036851,0.3786186976921551
AIZ,279.2799987792969,1,1,1,1,1,0.9803843074459567,0.019615692554043274,0.9812898089171974,0.8965661641541038,0.6551550652420556
AJG,249.77000427246094,1,1,1,1,1,0.9707766212970377,0.02922337870296232,0.9996019108280255,0.8601340033500837,0.9012766845763558
AKAM,112.7300033569336,0,0,0,0,0,0.08326661329063251,0.9167333867093674,0.011544585987261146,0.292713567839196,0.3826392022251414
ALB,133.8000030517578,0,0,0,0,0,0.06405124099279423,0.9359487590072058,0.046974522292993634,0.06365159128978225,0.374162665146426
ALGN,188.38999938964844,1,1,1,1,1,0.7129703763010409,0.2870296236989591,0.8901273885350318,0.5104690117252931,0.4204847391921598
ALL,248.3699951171875,1,1,1,1,1,0.922738190552442,0.077261809447558,0.9932324840764332,0.9036850921273032,0.7268698329561737
ALLE,140.13999938964844,1,1,1,1,1,0.7497998398718975,0.25020016012810253,0.7997611464968153,0.1574539363484087,0.44549507866641225
AMAT,592.7899780273438,0,0,0,0,0,0.43194555644515614,0.5680544435548438,0.1624203821656051,0.9233668341708543,0.9793178875536683
AMBA,79.7300033569336,1,1,1,1,1,0.6537229783827062,0.3462770216172938,0.7659235668789809,0.7973199329983249,0.3652600502316849
AMCR,44.619998931884766,1,1,1,1,1,0.8854625550660793,0.1145374449339207,0.9775730877052463,0.7386934673366834,0.21485680100726562
AMD,552.0499877929688,0,0,0,0,0,0.6269015212169736,0.3730984787830264,0.7710987261146497,0.9882747068676717,1.111585296434064
AME,237.13999938964844,1,1,1,1,1,0.4943955164131305,0.5056044835868695,0.5195063694267515,0.4183417085427136,0.8303875497931414
AMGN,366.44000244140625,1,1,1,1,1,0.7838270616493195,0.21617293835068052,0.8837579617834395,0.5783082077051926,0.5874133918536181
AMP,507.5,1,1,1,1,1,0.9483586869495596,0.051641313050440396,0.9884554140127388,0.4036850921273032,0.7494834895400639
AMT,162.11000061035156,0,0,0,0,0,0.07285828662930344,0.9271417133706965,0.01711783439490446,0.1159966499162479,0.368946918070972
AMZN,244.16000366210938,0,0,0,0,0,0.3759007205764612,0.6240992794235388,0.6297770700636943,0.45309882747068675,0.7453769200936811
ANET,173.27999877929688,1,1,1,1,1,0.5368294635708567,0.4631705364291433,0.8387738853503185,0.7286432160804021,1.0597807463492752
AON,356.9100036621094,1,1,1,1,1,0.8875100080064051,0.11248999199359488,0.9980095541401274,0.6670854271356784,0.6628735238157646
AOS,62.45000076293945,1,1,1,1,1,0.7858286629303443,0.21417133706965574,0.865843949044586,0.2051926298157454,0.32974582856567247
APA,32.459999084472656,0,0,0,0,0,0.14691753402722177,0.8530824659727783,0.19148089171974522,0.5343383584589615,0.26019631387499287
APD,308.8599853515625,1,1,1,1,1,0.8414731785428343,0.15852682145716568,0.9796974522292994,0.8010887772194305,0.5622294668833846
APH,166.80999755859375,1,1,1,1,1,0.5748598879103283,0.42514011208967173,0.8578821656050956,0.8195142378559463,1.0602645916687359
APO,122.16999816894531,0,0,0,0,0,0.1953562850280224,0.8046437149719776,0.26154458598726116,0.21398659966499162,0.8511985579716669
APP,543.7899780273438,1,1,1,1,1,0.6060138781804163,0.3939861218195837,0.7292143401983219,0.41870261162594774,0.902374589802006
APTV,59.72999954223633,0,0,0,0,0,0.26861489191353083,0.7313851080864692,0.1070859872611465,0.114321608040201,0.24968824883995341
ARES,121.83000183105469,1,1,0,1,1,0.377502001601281,0.622497998398719,0.5915605095541401,0.14824120603015076,0.8770265982970797
AS,34.84000015258789,1,1,1,1,1,0.43676222596964587,0.5632377740303541,0.45304777594728174,0.16459627329192547,1.0489818131096473
ASML,1825.0699462890625,0,0,0,0,0,0.4355484387510008,0.5644515612489992,0.37460191082802546,0.7173366834170855,0.9817942597498169
ASST,13.109999656677246,0,0,0,0,0,0.582541567695962,0.417458432304038,0.7967289719626168,0.7465846994535519,0.49046488535233296
ASX,43.31999969482422,1,1,1,1,1,0.710968775020016,0.289031224979984,0.9327229299363057,0.9928810720268006,0.8585977802564788
ATO,173.8300018310547,1,1,1,1,1,0.42954363490792635,0.5704563650920736,0.5469745222929936,0.13274706867671693,0.5869614360875413
ATZAF,105.66999816894531,0,0,0,0,0,0.14192139737991266,0.8580786026200873,0.09110169491525423,0.14942528735632185,1.4370365231593425
AU,84.05000305175781,1,1,1,1,1,0.377902321857486,0.622097678142514,0.45421974522292996,0.135678391959799,0.5761575827509987
AVGO,373.8999938964844,0,0,0,0,0,0.18574859887910328,0.8142514011208968,0.10071656050955415,0.1838358458961474,1.078895591432435
AVY,166.0399932861328,1,1,1,1,1,0.6973578863090473,0.30264211369095273,0.7973726114649682,0.20268006700167504,0.5092805308224325
AWK,133.08999633789062,1,1,1,1,1,0.7369895916733387,0.26301040832666134,0.7985668789808917,0.4564489112227806,0.40324890528672674
AXON,622.3499755859375,1,1,1,1,1,0.9735788630904724,0.02642113690952763,1.0,0.8676716917922948,0.8886966702424817
AXP,356.0299987792969,1,1,1,1,1,0.9647718174539631,0.03522818254603688,0.946656050955414,0.5041876046901173,0.7643875340636841
AZN,190.16000366210938,1,1,1,1,1,0.5824659727782225,0.41753402722177746,0.7480095541401274,0.25418760469011725,0.7021756158327042
AZO,2957.7099609375,0,0,0,0,0,0.13290632506004804,0.8670936749399519,0.03662420382165605,0.02763819095477387,0.6278732114717999
B,38.11000061035156,1,1,1,1,1,0.366293034427542,0.633706965572458,0.2981687898089172,0.09505862646566164,0.3844730046498875
BA,234.5399932861328,1,1,1,1,1,0.7642113690952762,0.2357886309047238,0.9052547770700637,0.5992462311557789,0.377889650469818
BABA,97.91000366210938,0,0,0,0,0,0.03122497998398719,0.9687750200160128,0.11544585987261147,0.01968174204355109,0.2757170263605861
BAC,59.900001525878906,1,1,1,1,1,0.966373098478783,0.033626901521216945,0.9367038216560509,0.7734505862646566,0.728530826732589
BAESY,108.61000061035156,1,1,1,1,1,0.7814251401120896,0.21857485988791037,0.9920382165605095,0.30904522613065327,0.7504781670810763
BAH,62.310001373291016,0,0,0,0,0,0.07245796637309848,0.9275420336269016,0.06210191082802548,0.018425460636515914,0.46785237281700853
BALL,62.95000076293945,1,1,1,1,1,0.9179343474779824,0.08206565252201758,0.9570063694267515,0.61892797319933,0.38247930020498755
BAX,22.579999923706055,1,1,1,1,1,0.9027221777421938,0.09727782225780623,0.9960191082802548,0.9995812395309883,-0.040062175087175134
BBY,78.0,1,1,1,1,1,0.800640512409928,0.19935948759007205,0.82921974522293,0.9195979899497487,0.5296607656355735
BCC,75.27999877929688,1,1,1,1,1,0.522017614091273,0.477982385908727,0.4239649681528662,0.29941373534338356,0.5980653791671319
BDX,155.5399932861328,1,1,1,1,1,0.7369895916733387,0.26301040832666134,0.9195859872611465,0.2135678391959799,0.25256686177637055
BEKE,15.020000457763672,0,0,0,0,0,0.25392491467576794,0.7460750853242321,0.4192021636240703,0.2826568265682657,0.16319912908400427
BEN,34.439998626708984,1,1,1,1,1,0.933947157726181,0.06605284227381902,0.893312101910828,0.9769681742043551,0.33270035869436104
BG,108.77999877929688,0,0,0,0,0,0.12169735788630905,0.8783026421136909,0.08718152866242038,0.37353433835845895,0.4536781757120607
BHP,83.63999938964844,0,0,0,0,0,0.3482786228983187,0.6517213771016813,0.31488853503184716,0.7185929648241206,0.7314373662638493
BIDU,114.38999938964844,1,0,1,1,1,0.4043234587670136,0.5956765412329864,0.43710191082802546,0.22110552763819097,0.15036759778354278
