,price,sim1_direction,sim2_direction,sim3_direction,sim4_direction,sim5_direction,RSI,RSIRev,fair_value_mult,geomean,sharpe,et,rollover,roth,simple,fid,schwab,dm,sim1,sim2,sim3,sim4,sim5,owned,inEt,inFid,in_self_managed,currentlyActive,et_status,et_status_scaled,fid_status,fid_status_scaled,schwab_status,schwab_status_scaled,sim1_status,sim1_status_scaled,sim2_status,sim2_status_scaled,sim3_status,sim3_status_scaled,dm_status,dm_status_scaled,sharpe_capped,sharpe_scaled,weighted_sharpe_capped,weighted_sharpe_scaled,et_sharpe_adj_status,et_w_sharpe_adj_status,et_mean_sharpe_adj_status,fid_sharpe_adj_status,fid_w_sharpe_adj_status,fid_mean_sharpe_adj_status,schwab_sharpe_adj_status,schwab_w_sharpe_adj_status,schwab_mean_sharpe_adj_status,sim1_sharpe_adj_status,sim1_w_sharpe_adj_status,sim1_mean_sharpe_adj_status,sim2_sharpe_adj_status,sim2_w_sharpe_adj_status,sim2_mean_sharpe_adj_status,sim3_sharpe_adj_status,sim3_w_sharpe_adj_status,sim3_mean_sharpe_adj_status,dm_sharpe_adj_status,dm_w_sharpe_adj_status,dm_mean_sharpe_adj_status,et_norm,fid_norm,schwab_norm,sim1_norm,sim2_norm,sim3_norm,dm_norm,et_target,et_diff,et_bid_ask,et_nshares,qe,exact_amt,fid_target,fid_diff,DEL,fid_bid_ask,fid_nshares,qf,schwab_target,schwab_diff,schwab_bid_ask,schwab_nshares,sim1_target,sim1_diff,sim1_bid_ask,sim1_nshares,q1,sim2_target,sim2_diff,sim2_bid_ask,sim2_nshares,q2,sim3_target,sim3_diff,sim3_bid_ask,sim3_nshares,q3,dm_target,dm_diff,dm_bid_ask,dm_nshares,qd,sim4_status,sim4_status_scaled,sim5_status,sim5_status_scaled,sim4_sharpe_adj_status,sim5_sharpe_adj_status,sim4_norm,sim5_norm,sim4_target,sim4_diff,sim4_bid_ask,sim4_nshares,q4,sim5_target,sim5_diff,sim5_bid_ask,sim5_nshares,q5,up_down,et_sell_w,fid_sell_w,schwab_sell_w,sim1_sell_w,sim2_sell_w,sim3_sell_w,sim4_sell_w,sim5_sell_w,dm_sell_w,et_q,fid_q,schwab_q,sim1_q,sim2_q,sim3_q,sim4_q,sim5_q,dm_q,ltest,lt2,testy,sort_col,et_sort_col,fid_sort_col,schwab_sort_col,sim1_sort_col,sim2_sort_col,sim3_sort_col,sim4_sort_col,sim5_sort_col,dm_sort_col,currently_active
A,153.83999633789062,0.0,0.0,0.0,0.0,0.0,0.7308,0.2692,0.5795544948289578,0.900418410041841,0.584879626184752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6068481617897988,-0.15437711444823,0.6020949416367117,-0.17544771468616097,0.7183440281467903,-0.4609050826811688,0.6068481617897988,-0.15437711444823,0.6021737797882929,-0.16324871620383125,0.5898427027092817,-0.12036219720291622,0.6068481617897988,-0.15437711444823,0.584879626184752,1.629481751248587,0.0,0.0,0.9273942735496794,0.0,0.0,0.9179021764693694,0.0,0.0,0.798482325011818,0.0,0.0,0.9273942735496794,0.0,0.0,0.9233857990789595,0.0,0.0,0.9429252294592212,0.0,0.0,0.9273942735496794,0.0,0.0,0.000863048769199793,0.0006535439685431043,0.0007570371657062665,0.000863048769199793,0.0007272147116745123,0.0008896971752285925,0.000863048769199793,174.99773573475002,174.99773573475002,146.46454639845754,1,0.0,0.0,143.7023919626835,143.7023919626835,0.0,146.46454639845754,1,0.0,19.43735385165464,19.43735385165464,146.46454639845754,0,132.9967827250535,132.9967827250535,146.46454639845754,1,0.0,110.40457980060347,110.40457980060347,146.46454639845754,1,0.0,129.8542368569273,129.8542368569273,146.46454639845754,1,0.0,43.45109838527853,43.45109838527853,146.46454639845754,0,0.0,0.6116921160127801,-0.13580061988846975,0.6874983147657034,-10.555056683553914,0.9358441853387254,0.0057783719813030016,0.0010255521575120114,0.00028350631371922865,157.3312257072678,157.3312257072678,146.46454639845754,1,0.0,49.8917874196227,49.8917874196227,148.08997572552386,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003723795853962797,0.000480967196696821,0.0,0.0003723795853962797,0.0004164084897218599,0.00022636028930490143,0.0002881532556576976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AAON,75.87000274658203,0.0,0.0,0.0,0.0,0.0,0.0484,0.9516,0.0171042163882259,0.000418410041841,0.5605885504520874,1745.0,1062.0,683.0,0.0,1745.0,0.0,152.0,1214.0,986.0,1062.0,1062.0,0.0,3490.0,1,1,1,1,0.01935222869389085,3.5887687553022203,0.018319033549518735,4.388527625719771,0.001144702900510628,8.068086350927786,0.01935222869389085,3.5887687553022203,0.019158931701252862,3.9990287468107732,0.01774802835970301,3.4945316167333256,0.01935222869389085,3.5887687553022203,0.5605885504520874,1.6051906755159226,,,5.464966976080321,,,7.979198807866601,,,45.52045394176212,,,5.464966976080321,,,6.636007904915436,,,5.2266004386731915,,,5.464966976080321,,,0.004831146913576337,0.005349826320394265,0.009927054707108333,0.004831146913576337,0.004921159851529803,0.004661868415161167,0.004831146913576337,979.5967517127278,-765.4032482872722,82.72402989289918,-9,,75.25042644630324,1176.32917726923,-568.6708227307699,,82.72402989289918,-7,,254.8826976899917,254.8826976899917,77.445714711075,3,744.485154614689,-469.514845385311,82.72402989289918,-6,,747.122654172771,-238.87734582722896,82.72402989289918,-3,,680.4150695686187,-381.5849304313813,82.72402989289918,-5,,243.22917469678313,91.22917469678313,75.25042644630324,1,,0.020105096328694595,2.95750074617498,0.02924317115397059,-5.841884029779545,4.053639810430115,0.06299952465334707,0.004248990778710095,0.002923833966503284,651.8429339129034,-410.1570660870966,82.72402989289918,-5,,514.5398731808215,514.5398731808215,69.7187075146135,7,,1,,,,,,,,,,-1.8111461033015785,-2.106472235186551,3.0,-1.2074307355343856,-0.749635824272763,-0.9540430640897524,-0.6833445830957472,3.732707236277392,0.2012384559223976,,,,47.08893263,-165.44805978579836,-165.44805978579836,232.337144133225,-82.72402989289918,-82.72402989289918,-82.72402989289918,-82.72402989289918,278.874830058454,0.0,1.0
AAPL,319.70001220703125,1.0,0.0,1.0,1.0,1.0,0.518,0.482,0.6097852028639618,0.598744769874477,1.0307746812364886,320.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.0,320.0,320.0,959.0,0.0,320.0,1,1,1,1,0.5872711226017443,-0.12460334193886505,0.5910501476215659,-0.15542880575383292,0.5732672055719543,-0.13404667631281567,0.5872711226017443,-0.12460334193886505,0.5908260199276437,-0.1441288794692742,0.6008883787462505,-0.13605117057707458,0.5872711226017443,-0.12460334193886505,1.0307746812364886,2.0753768063003237,,,0.9130375926932052,,,0.8927173972416517,,,0.9067638684383547,,,0.9130375926932052,,,0.9001132829690309,,,0.9054377295235165,,,0.9130375926932052,,,0.0019432196456383758,0.0016729666683574676,0.002317611715028224,0.0019432196456383758,0.001867272348768365,0.0021133101749775582,0.0019432196456383758,394.02065115891094,74.02065115891094,308.2750577729168,0,,0.0,367.85483990118627,367.85483990118627,,308.2750577729168,1,,59.50598073176061,59.50598073176061,308.2750577729168,0,299.45232554777454,-979.5476744522255,331.00314183119,-3,,283.4863152924339,-36.513684707566085,330.8605557814885,0,,308.4445895236007,-11.555410476399288,330.9405057081223,0,,97.83343771537517,97.83343771537517,308.2750577729168,0,,0.583594646874297,-0.09990908527767317,0.5377773585842616,-9.483039665199172,0.9296492706157159,0.0009839135942562546,0.002085011030742389,0.0001181694859124035,319.8641226358415,-639.1358773641584,331.08597871344614,-2,,20.79561048670876,20.79561048670876,310.00719729907803,0,,1,,,,,,,,,,0.0,0.00037747052590723007,0.0,-0.0007277809135468934,0.0,0.0,-0.00031193204128191783,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.0
ABBV,255.47999572753903,0.0,0.0,0.0,0.0,0.0,0.398,0.602,0.3361177406523468,0.7393305439330544,0.8209468986371274,511.0,0.0,255.0,0.0,255.0,0.0,0.0,766.0,766.0,511.0,766.0,0.0,766.0,1,1,1,1,0.34793155520693586,0.22819013590119955,0.3459668434709098,0.2763271948855766,0.44440983288271185,0.10100039604945822,0.34793155520693586,0.22819013590119955,0.34590279164534304,0.25702632116848073,0.34062329338315717,0.22579562932444366,0.34793155520693586,0.22819013590119955,0.8209468986371274,1.8655490237009626,,,1.1529100100856038,,,1.1880405014071778,,,1.065004837704646,,,1.1529100100856038,,,1.1738279360979955,,,1.1511898760084214,,,1.1529100100856038,,,0.0017041814819555598,0.0014534398884317296,0.0017583602238587146,0.0017041814819555598,0.0015891297062220408,0.0018026949650626499,0.0017041814819555598,345.55162033291185,-165.44837966708815,266.0135564714648,-1,,0.0,319.5849072055814,64.58490720558137,,247.29192782613393,0,,45.14688501182206,45.14688501182206,241.74508021706782,0,262.6162765863749,-503.3837234136251,266.0135564714648,-2,,241.25914210413794,-524.7408578958621,266.0135564714648,-2,,263.10927525861905,-247.89072474138095,266.0135564714648,-1,,85.79880984880796,85.79880984880796,246.56718657761255,0,,0.34996662666513245,0.18843963598811966,0.38128838523585795,-8.362562967127268,1.1246844992044447,0.005437035927380562,0.0018397508222735854,0.00044013467544334347,282.23845052060835,-483.76154947939165,266.0135564714648,-2,,77.45543785303911,77.45543785303911,245.23840322881068,0,,1,,,,,,,,,,-0.0008136052831657488,0.0,0.0,-0.0016272105663314976,-0.002064454055418844,-0.000796619784719087,-0.0011096717628542201,0.0,0.0,,,,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0
ABEV,2.859999895095825,0.0,0.0,0.0,0.0,0.0,0.2368,0.7632,0.388623707239459,0.2715481171548117,0.0655827903870134,6.0,6.0,6.0,0.0,12.0,0.0,0.0,3.0,3.0,6.0,3.0,621.0,18.0,1,1,1,1,0.34121711439224534,0.23993006840935976,0.34849594063769196,0.27109321083194166,0.28579321088050647,0.4491748497495251,0.34121711439224534,0.23993006840935976,0.34816631742678106,0.2526686974491938,0.368805487892057,0.18092448837124772,0.34121711439224534,0.23993006840935976,0.0655827903870134,1.1101849154508485,,,1.0253961978122634,,,1.0287417457739314,,,1.0480703549507007,,,1.0253961978122634,,,1.0267624483731892,,,1.019091373677536,,,1.0253961978122634,,,0.0002568652401762961,0.0001577616372415306,0.0002060441065414816,0.0002568652401762961,0.00017395334256043422,0.00022853786877648035,0.0002568652401762961,52.08377211578943,46.08377211578943,2.75774893471126,17,,13.788744673556298,34.68890498996606,22.688904989966062,,2.761737811918387,8,,5.290298005591899,5.290298005591899,2.7750069014638656,2,39.58322143141495,36.58322143141495,2.75774893471126,13,,26.409319533803767,23.409319533803767,2.7591768044019167,8,,33.35585564296475,27.355855642964748,2.7552185108350606,10,,12.93215079028134,12.93215079028134,2.75774893471126,5,,0.334294702598452,0.21159976936009414,0.26166968198272766,-7.506081089964528,1.022364214690473,0.4563089964290424,0.00035967767922150947,0.005410189639630006,55.17859790646757,52.17859790646757,2.7574085568706397,19,,952.0917818697524,331.09178186975237,2.755334790853689,120,,1,,,,,,,,,,0.01529108502121314,0.009186441119896445,0.0063049389264846385,0.011693182663280637,0.007980183833834028,0.005114636014437149,0.01329241852299462,105.63984999210577,0.00449737794741563,,,,0.001760048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.06548783049107,0.0,1.0
ABNB,189.42999267578125,1.0,1.0,1.0,1.0,1.0,0.9345531315974666,0.0654468684025334,0.845993031358885,0.992372234935164,0.33188954115703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.8637731824126346,-0.8943236526608661,0.8607305509482694,-1.0436473761216438,0.9224740905130638,-1.916706079709877,0.8637731824126346,-0.8943236526608661,0.8607946493280563,-0.9707338858275487,0.8527979217150063,-0.7745540291776137,0.8637731824126346,-0.8943236526608661,0.33188954115703,1.3764916662208653,,,0.751435138042123,,,0.716422654824239,,,0.5420156461412444,,,0.751435138042123,,,0.7333102867754385,,,0.7807506591217642,,,0.751435138042123,,,0.0003926980986609248,0.00025969930484959143,0.00025729566360800323,0.0003926980986609248,0.0002938703866555964,0.00039165437290784335,0.0003926980986609248,79.62618167768287,79.62618167768287,180.23554498264681,0,,0.0,57.10313780590116,57.10313780590116,,180.23554498264681,0,,6.606210480273201,6.606210480273201,180.23554498264681,0,60.5152171789473,60.5152171789473,180.23554498264681,0,,44.614934260397085,44.614934260397085,180.23554498264681,0,,57.163247362856154,57.163247362856154,180.23554498264681,0,,19.77079897402367,19.77079897402367,180.23554498264681,0,,0.8668411970984634,-0.7672497606780014,0.9114953402821581,-12.15889778595428,0.7825750525861259,0.020543107938406392,0.000520376348574051,0.0005397863513036633,79.83157965251416,79.83157965251416,180.23554498264681,0,,94.99226150542543,94.99226150542543,182.73637666433757,1,,1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.73637666433757,0.0,1.0
ABT,112.47000122070312,0.0,0.0,0.0,0.0,0.0,0.7104,0.2895999999999999,0.7223548130469372,0.9497907949790796,0.5980978885970069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.7198371052568888,-0.3605248099486616,0.7204008085050709,-0.4316529339592853,0.7847766154538623,-0.6889934882821717,0.7198371052568888,-0.3605248099486616,0.720202783311293,-0.4008179445387694,0.7214177217839807,-0.34112806311837696,0.7198371052568888,-0.3605248099486616,0.5980978885970069,1.6427000136608418,0.0,0.0,0.8361532824790225,0.0,0.0,0.8071488722526119,0.0,0.0,0.7103653378993345,0.0,0.0,0.8361532824790225,0.0,0.0,0.8195970394954508,0.0,0.0,0.8442421439461013,0.0,0.0,0.8361532824790225,0.0,0.0,0.0007999388412969913,0.0005935681686868255,0.0006961768386155471,0.0007999388412969913,0.0006666987199968109,0.0008210510922426698,0.0007999388412969913,162.20113039851447,162.20113039851447,108.86236440658153,1,0.0,0.0,130.5148080906521,130.5148080906521,0.0,108.86236440658153,1,0.0,17.874730817042952,17.874730817042952,108.86236440658153,0,123.27147209531358,123.27147209531358,108.86236440658153,1,0.0,101.2171382855536,101.2171382855536,108.86236440658153,1,0.0,119.83511465721477,119.83511465721477,108.86236440658153,1,0.0,40.27376266074584,40.27376266074584,108.86236440658153,0,0.0,0.7193518392429252,-0.30146761491068536,0.7135970129249002,-10.741925972243578,0.8610258005861205,0.0048360314918395085,0.0009664056447180182,0.00024447397260756647,148.25748597981706,148.25748597981706,108.86236440658153,1,0.0,43.02282834888449,43.02282834888449,109.43915091792812,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020309084154456025,0.0029113164905571736,0.0,0.0020309084154456025,0.002510234760379438,0.0018182555538577402,0.00142004254437402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ACGBY,19.709999084472656,1.0,1.0,1.0,1.0,1.0,0.7224,0.2775999999999999,0.6988862370723946,0.7581589958158996,0.6738870380602554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,158.0,316.0,178.0,395.0,0.0,1,1,1,1,0.7038744415647137,-0.32612212704474314,0.7030449000973849,-0.38704604084183053,0.7266750758120928,-0.48522186029321834,0.7038744415647137,-0.32612212704474314,0.7030434366924024,-0.3598350398331974,0.7008156383030566,-0.29964614635647574,0.7038744415647137,-0.32612212704474314,0.6738870380602554,1.7184891631240906,,,0.8381339370826377,,,0.8109374608444,,,0.7689562537926659,,,0.8381339370826377,,,0.8229736736274949,,,0.8502353708757068,,,0.8381339370826377,,,0.0009355717689933026,0.0007142957371020712,0.0009066766758490641,0.0009355717689933026,0.000801957961084809,0.000979015666304017,0.0009355717689933026,189.7030006114072,189.7030006114072,18.798110718511168,10,,56.394332155533505,157.06059719155036,157.06059719155036,,18.798110718511168,8,,23.279432207372206,23.279432207372206,18.798110718511168,1,144.1726582842638,-112.8273417157362,20.564894898116552,-5,,121.75198093482166,-36.24801906517834,20.53773511885405,-2,,142.8905651928372,-173.1094348071628,20.57287720127331,-8,,47.10234511858315,47.10234511858315,18.798110718511168,3,,0.7047150104997363,-0.27499159423425923,0.7166112313427313,-10.76350807753709,0.8616613384553495,0.0029443914129052757,0.0011052985473647724,0.00017588880016447607,169.56521806871194,-8.434781931288057,20.649101150589537,0,,30.95312591870278,-364.04687408129723,19.16443704442285,-19,,1,,,,,,,,,,0.01661806902315431,0.018725579716416994,0.0036787539641626797,-0.008309034511577156,-0.0040462892466174615,-0.01122347662828581,0.0,-19.0,0.004985420706946293,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-364.12430384403416,0.0,1.0
ACGL,98.83999633789062,0.0,0.0,0.0,0.0,0.0,0.3056,0.6944,0.2979315831344471,0.3790794979079498,0.6354112274609313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,297.0,0.0,297.0,297.0,0.0,1,1,1,1,0.29959574999147776,0.31895217549886334,0.29935356454880496,0.38114070917905746,0.32527174886411964,0.3468791024644206,0.29959574999147776,0.31895217549886334,0.2993073461763603,0.3544534751167195,0.29858571171854925,0.300800172604377,0.29959574999147776,0.31895217549886334,0.6354112274609313,1.6800133525247665,,,1.179951037585422,,,1.218641195196167,,,1.1971712500516238,,,1.179951037585422,,,1.2018849067897324,,,1.16889125397624,,,1.179951037585422,,,0.0012189760385124824,0.0009804387304914708,0.0012864337497090097,0.0012189760385124824,0.0010696728707348863,0.0012365221827521674,0.0012189760385124824,247.1680098129164,247.1680098129164,96.45344626081089,3,,96.45344626081089,215.58058451455008,215.58058451455008,,96.51774315488287,2,,33.029908084469035,33.029908084469035,96.4624199665127,0,187.8455738850151,88.84557388501511,96.45344626081089,1,,162.39603231576024,-134.60396768423976,102.21449413839338,-1,,180.47449049918535,180.47449049918535,96.14045640523165,2,,61.370631265498645,61.370631265498645,96.45344626081089,1,,0.29986034569660497,0.26705329574048603,0.3038107122017672,-7.807815080435874,1.1486044857581053,0.017410042926261343,0.0013778305787040838,0.0009564133515479084,211.3746942821177,-85.6253057178823,102.21449413839338,-1,,168.3107899599512,-128.6892100400488,98.27440311119987,-1,,1,,,,,,,,,,0.0047686167307245805,0.0045396325060473395,0.0,0.0015895389102415268,-0.0019630822815987323,0.002827523244963219,-0.001114335355716492,-0.9525308801606539,0.0015895389102415268,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-98.27440311119987,0.0,1.0
ACN,189.6100006103516,1.0,1.0,1.0,1.0,1.0,0.822,0.178,0.9908512330946698,0.9661087866108786,0.3799586309836888,379.0,0.0,190.0,0.0,190.0,0.0,379.0,379.0,569.0,379.0,379.0,0.0,569.0,1,1,1,1,0.9486862193624879,-2.034126843177283,0.9557262991273279,-2.6869574885024283,0.9214216423096019,-1.8956913392285826,0.9486862193624879,-2.034126843177283,0.9553120879466792,-2.4824950566205173,0.9741289802814378,-2.914212439879867,0.9486862193624879,-2.034126843177283,0.3799586309836888,1.424560756047524,,,0.48684801213248624,,,0.3864254756826338,,,0.5112911840363044,,,0.48684801213248624,,,0.4154203203781196,,,0.35656686892782835,,,0.48684801213248624,,,0.000286117204700393,0.00016069845201757636,0.0002793889632995506,0.000286117204700393,0.00019100641517175377,0.00020339994832057793,0.000286117204700393,58.01510269662842,-320.98489730337155,191.98046719779933,-2,,-383.96093439559866,35.33465696440464,-154.66534303559536,,191.34385255502067,-1,,7.173468341985476,7.173468341985476,179.88308714629653,0,44.09098195310531,-334.9090180468947,191.98046719779933,-2,,28.998289869162704,-540.0017101308373,191.55062988830912,-3,,29.686893250077915,-349.3131067499221,191.1113667265845,-2,,14.40487172316407,-364.5951282768359,191.98046719779933,-2,,0.941848874355399,-1.5582049468949697,0.8577056204826596,-11.773758013217892,0.5761473154927055,0.01550948493215589,0.0004240962023460323,0.00046272915808057987,65.06112326336483,-313.93887673663517,192.89753261600828,-2,,81.43164250895997,81.43164250895997,181.76042073150043,0,,0,,,,,,,,,,-0.12930225044169938,-0.11280844601592621,0.0,-0.12930225044169938,-0.2888803924755612,-0.2653948170234552,-0.0758750830164986,0.0,-0.12930225044169938,,,,-7.821406187,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.0
