Position,Qty,U/L Price,U/L Change,Mark,Mark Chg,Net Cost Basis,Today's Net Gain,Open Net Gain,Market Value,Bid,Ask,Earnings Date
ADYEY shares,14,12.81,-0.17,12.81,-0.17,8.675,-2.38,57.89,179.34,0,0,--
AMZN shares,1,202.88,-1.73,202.88,-1.73,97.38,-1.73,105.5,202.88,202.7,202.88,2/6/25
ASML shares,2,658.43,-3.73,658.43,-3.73,614.6,-7.46,87.66,1316.86,656,659,1/29/25
BYND shares,5,5.15,0.27,5.15,0.27,6.658,1.35,-7.54,25.75,5.1,5.16,2/25/25
CHWY shares,23,34.62,1.68,34.62,1.68,25.536956,38.64,208.910012,796.26,34.9,34.96,12/4/24
DDOG shares,7,135.45,2.04,135.45,2.04,115.511428,14.28,139.570004,948.15,138.61,139.76,2/11/25
DOCU shares,1,78.81,-0.71,78.81,-0.71,41.85,-0.71,36.96,78.81,77.26,78.9,12/5/24
EDIT shares,2,2.41,-0.07,2.41,-0.07,7.08,-0.14,-9.34,4.82,2.4,2.43,2/26/25
ELF shares,7,119,-2.71,119,-2.71,109.564285,-18.97,66.050005,833,117.2,117.23,2/5/25
ETSY shares,3,50.86,0.45,50.86,0.45,97.03,1.35,-138.51,152.58,50.6,50.9,2/19/25
FLGT shares,6,17.28,0.28,17.28,0.28,30.268333,1.68,-77.929998,103.68,16.55,17.45,3/3/25
FTNT shares,5,92.45,1.66,92.45,1.66,54.474,8.3,189.88,462.25,92.4,92.5,2/11/25
GGEI shares,39,0.0001,--,0.0001,0,1,0.0039,-38.9961,0.0039,0,0,--
GH shares,3,30.68,--,30.68,0,26.11,-1.42E-14,13.71,92.04,30.2,31.2,2/20/25
GMED shares,11,83.59,0.27,83.59,0.27,53.710909,2.97,328.670001,919.49,82.21,84.97,2/18/25
GOOG shares,5,177.33,-2.25,177.33,-2.25,138.178,-11.25,195.76,886.65,177.16,177.56,2/4/25
HDB shares,11,63.32,0.17,63.32,0.17,57.75,1.87,61.27,696.52,63.15,63.47,1/18/25
ISRG shares,3,541.82,3,541.82,3,275.16,9,799.98,1625.46,541.05,545,1/21/25
KNSL shares,2,478.29,8.84,478.29,8.84,445.44,17.68,65.7,956.58,458,500,2/13/25
KO shares,10,62.99,0.4,62.99,0.4,63.7,4,-7.1,629.9,63.04,63.05,2/11/25
LRCX shares,20,70.05,-0.12,70.05,-0.12,31.48,-2.4,771.4,1401,69.91,70.19,1/29/25
LULU shares,4,308.31,6.46,308.31,6.46,357.9,25.84,-198.36,1233.24,304,308.79,12/5/24
MASI shares,3,164.95,1.45,164.95,1.45,114.286666,4.35,151.990002,494.85,144.65,172,2/25/25
MDB shares,3,281.76,-7.39,281.76,-7.39,142.38,-22.17,418.14,845.28,292.5,293.75,12/9/24
