,price,direction,RSI,RSIRev,fair_value_mult,geomean,sharpe,weighted_sharpe,et,schwab,rollover,roth,simple,sim1,sim2,sim3,dm,fid,Owned,inEt,inFid,in_self_managed,currentlyActive,et_status,et_status_scaled,fid_status,fid_status_scaled,schwab_status,schwab_status_scaled,sim1_status,sim1_status_scaled,sim2_status,sim2_status_scaled,sim3_status,sim3_status_scaled,dm_status,dm_status_scaled,sharpe_capped,sharpe_scaled,weighted_sharpe_capped,weighted_sharpe_scaled,et_sharpe_adj_status,et_w_sharpe_adj_status,et_mean_sharpe_adj_status,fid_sharpe_adj_status,fid_w_sharpe_adj_status,fid_mean_sharpe_adj_status,schwab_sharpe_adj_status,schwab_w_sharpe_adj_status,schwab_mean_sharpe_adj_status,sim1_sharpe_adj_status,sim1_w_sharpe_adj_status,sim1_mean_sharpe_adj_status,sim2_sharpe_adj_status,sim2_w_sharpe_adj_status,sim2_mean_sharpe_adj_status,sim3_sharpe_adj_status,sim3_w_sharpe_adj_status,sim3_mean_sharpe_adj_status,dm_sharpe_adj_status,dm_w_sharpe_adj_status,dm_mean_sharpe_adj_status,et_norm,fid_norm,schwab_norm,sim1_norm,sim2_norm,sim3_norm,dm_norm,et_target,et_diff,et_bid_ask,et_nshares,up_down,exact_amt,fid_target,fid_diff,fid_bid_ask,fid_nshares,schwab_target,schwab_diff,schwab_bid_ask,schwab_nshares,sim1_target,sim1_diff,sim1_bid_ask,sim1_nshares,sim2_target,sim2_diff,sim2_bid_ask,sim2_nshares,sim3_target,sim3_diff,sim3_bid_ask,sim3_nshares,dm_target,dm_diff,dm_bid_ask,dm_nshares
RMD,218.05999755859372,1.0,0.9568690095846646,0.0431309904153354,1.0,0.9866332497911444,0.6848982900908789,0.6556220855182491,0,218,0,1090,0,0,0,0,555,1090,1308,0.0,1.0,1.0,1.0,0.9800417722346028,-4.565520105090199,0.981440340726899,-4.7186870547677175,0.9810195656912816,-4.6715526621588985,0.9755149257057151,-4.130510311291658,0.9795900400920549,-4.518116319410716,0.9707977252767912,-3.756069687601734,0.9795900400920549,-4.518116319410716,0.6848982900908789,1.8322486837117244,0.6556220855182491,2.3482801944468776,0.06299982609341732,0.020292418386251877,0.041646122239834604,0.057419423717356186,0.01780521303829523,0.03761231837782571,0.059081898236275715,0.018536265716332476,0.038809081976304095,0.0819860849523298,0.029418034445535656,0.05570205969893273,0.06483444650777716,0.021130450558354708,0.04298244853306593,0.10285187133439087,0.04049836419924016,0.07167511776681551,0.06483444650777716,0.021130450558354708,0.04298244853306593,0.0,0.00013130040109952712,5.385656845406057e-05,5.795399485661011e-05,5.6219003123900435e-05,2.489371717735383e-05,5.6219003123900435e-05,0.0,0.0,216.18381868338346,0,0,-653.3134867746348,29.093134872766843,-1060.9068651272332,217.0803338338109,-5,0.8111917109972923,-217.1888082890027,217.4046136397748,-1,5.709658399003092,5.709658399003092,213.75729647333654,0,11.018427658784471,11.018427658784471,212.23541794046247,0,4.895228350098845,4.895228350098845,214.5914878814491,0,1.1148215164222723,-553.8851784835778,217.7711622582116,-3
GOOG,173.69000244140625,1.0,0.9648562300319488,0.0351437699680511,0.9964257347100872,0.9223057644110276,0.8193453384881665,2.3685831946711025,0,0,0,174,0,0,0,0,152,174,174,0.0,1.0,1.0,1.0,0.9603789641744634,-3.1255421111865167,0.9613569348563037,-3.1758403773171895,0.9589584436241879,-3.0551617341092583,0.9681263229080254,-3.572048047047881,0.9716380331081182,-3.8178326349259066,0.9590667998225438,-3.060422474119147,0.9716380331081182,-3.8178326349259066,0.8193453384881665,1.966695732109012,2.3685831946711025,4.061241303599731,0.12075693707652037,0.012520201163302075,0.06663856911991123,0.11671794116804494,0.011668010862418542,0.06419297601523175,0.12664423414983014,0.013818119438660464,0.0702311767942453,0.08928051700647155,0.006696402381383006,0.047988459693927274,0.07560675972668164,0.004745069646488836,0.04017591468658524,0.12619441860918987,0.013716614924384342,0.0699555167667871,0.07560675972668164,0.004745069646488836,0.04017591468658524,0.0,0.0023877032918835565,0.0009210043016011879,0.00036232693758756005,6.520115088406777e-05,0.00012982374952279308,6.520115088406777e-05,0.0,0.0,171.3461958365747,0,0,-174.15159567311923,529.0598758663492,355.0598758663492,164.85666788843494,2,13.872236510742724,13.872236510742724,164.85666788843494,0,35.69664261282452,35.69664261282452,170.6252466884275,0,12.778849221183929,12.778849221183929,169.95623517994412,0,25.52920862129208,25.52920862129208,171.19419054363084,0,1.2929372963241332,-150.70706270367586,174.15159567311923,-1
JD,30.34000015258789,1.0,0.9581657280772324,0.0418342719227674,0.9848,0.8341750841750841,0.3152885760727601,-0.7097806922552949,4278,576,1608,4217,0,30,30,0,78,5825,10679,1.0,1.0,1.0,1.0,0.9220014778284885,-1.9072170162458715,0.9227761508677392,-1.922815966508636,0.9177670624393727,-1.825862816680035,0.9447738930431746,-2.4897976860306614,0.9485543542940927,-2.6199086414621706,0.9287515505465705,-2.051436314463109,0.9485543542940927,-2.6199086414621706,0.3152885760727601,1.4626389696936055,-0.6926581089286286,1.0,0.48422547734334914,1.0,0.7421127386716746,0.4813618525674188,1.0,0.7406809262837094,0.49943875097896967,1.0,0.7497193754894849,0.3880091168701442,1.0,0.6940045584350721,0.36927999309971304,1.0,0.6846399965498565,0.45838634672065515,1.0,0.7291931733603276,0.36927999309971304,1.0,0.6846399965498565,0.0055174852024724615,3.6197554631592965e-05,3.1414444956049065e-05,1.8004526533898912e-05,0.0004507473361853117,1.859369870802307e-05,0.0004507473361853117,951.6374904974331,-3326.362509502567,31.008082520951245,-107,0,-61.43115744208769,8.020541674987106,-5816.979458325013,30.980601879690923,-188,0.47316674800149416,-575.5268332519985,30.98893791512276,-19,1.7738155307273842,-28.226184469272617,30.760556814683284,-1,88.34249346616815,58.34249346616815,29.558380894124827,2,3.6563603739948234,3.6563603739948234,30.075603177148146,0,8.938309129067063,-69.06169087093294,30.715578721043844,-2
TYL,460.739990234375,1.0,0.9732428115015974,0.0267571884984025,0.9900714853057982,0.7677527151211362,0.7578385839596786,2.3281908881395115,0,0,0,2764,0,461,0,1382,415,2764,2764,0.0,1.0,1.0,1.0,0.900436970466198,-1.5493015559650254,0.9008939822995053,-1.555631498990795,0.8933012488998728,-1.4559619049871413,0.9393225046095363,-2.322364672685146,0.9430384984947439,-2.434087669707828,0.916257931217804,-1.7983694579091127,0.9430384984947439,-2.434087669707828,0.7578385839596786,1.905188977580524,2.3281908881395115,4.02084899706814,0.3683761695426805,0.1158055967201332,0.24209088313140684,0.36687619712990505,0.11479005176264039,0.24083312444627272,0.39121981963912916,0.13186707039530116,0.26154344501721516,0.22381116009298516,0.0394960600945343,0.13165361009375973,0.20826017033802632,0.03380940931902419,0.12103478982852525,0.31373859139216276,0.08188670409093741,0.19781264774155008,0.20826017033802632,0.03380940931902419,0.12103478982852525,0.0,0.007211044107370234,0.003292132652560366,0.0008797848401662277,0.0001783021438648679,0.00035604603465328626,0.0001783021438648679,0.0,0.0,456.5077256571184,0,0,-465.115454318536,1597.800745712637,-1166.199254287363,467.14220657865934,-2,49.58635122730603,49.58635122730603,440.1093366135392,0,86.67687041073324,-374.3231295892667,465.27396181046515,-1,34.9456440778832,34.9456440778832,453.9937848030093,0,70.01472019456412,-1311.9852798054358,466.75846075555955,-3,3.5357273405701637,-411.4642726594298,465.115454318536,-1
KO,61.7400016784668,1.0,0.8901757188498403,0.1098242811501597,0.9745830023828436,0.7408103592314118,0.4584787649565928,0.974884169881038,0,0,0,679,0,0,0,0,119,679,679,0.0,1.0,1.0,1.0,0.8583301017855158,-1.1093254051198187,0.8606485844641403,-1.1280048452727547,0.8529807766962514,-1.068004616248925,0.8879066067037819,-1.39159524584227,0.8973178328020125,-1.5072666647777824,0.8602157763676281,-1.1244808767551029,0.8973178328020125,-1.5072666647777824,0.4584787649565928,1.6058291585774382,0.974884169881038,2.6675422788096665,0.5913062872806998,0.3367471251713453,0.46402670622602255,0.5860978770810321,0.3306316131795173,0.4583647451302747,0.6029928406756446,0.35068012472847465,0.47683648270205964,0.517308693631839,0.25528513370802075,0.38629691366992985,0.48972947403977973,0.22789595918436348,0.3588127166120716,0.5870769459542142,0.3317767731677484,0.4594268595609813,0.48972947403977973,0.22789595918436348,0.3588127166120716,0.0,0.0022316339328292962,0.0011159802500328646,0.0005491771626407149,0.00031399565384583817,0.0002356672863185241,0.00031399565384583817,0.0,0.0,61.57925288068322,0,0,-124.52018623352991,494.47851225703255,-184.52148774296745,62.321717229866344,-3,16.808979005699932,16.808979005699932,60.39393548321386,0,54.10522617069604,54.10522617069604,61.607483495923944,1,61.54037255780254,61.54037255780254,61.47725296713265,1,46.342825097522535,46.342825097522535,61.63367030138806,1,6.22652646826467,-112.77347353173533,62.260093116764956,-2
SE,62.86000061035156,1.0,0.8707692307692307,0.1292307692307692,0.8578401464307505,0.7617161716171618,0.6415447448511536,0.9511797390879092,189,0,0,251,0,63,0,63,1496,251,440,1.0,1.0,1.0,1.0,0.8284795588945386,-0.9051782154842394,0.8280965054408381,-0.902923357784344,0.8248551316469382,-0.8841500302236897,0.8475581937351322,-1.0284596618887552,0.8473505153788616,-1.0269890737757958,0.8395356911711854,-0.9738339645537033,0.8473505153788616,-1.0269890737757958,0.6415447448511536,1.788895138471999,0.9511797390879092,2.643837848016538,0.5906982246784502,0.4147651355763833,0.5027316801274168,0.5914733869963189,0.4156753993065071,0.503574393151413,0.5979667935950946,0.423331977357136,0.5106493854761154,0.5498277256042551,0.36791587252919045,0.45887179906672276,0.5502981896828557,0.36844227728995654,0.45937023348640615,0.5675763113112553,0.3879836243508374,0.47777996783104637,0.5502981896828557,0.36844227728995654,0.45937023348640615,0.0050186813261486295,0.0021731116135146693,0.0011521690717631462,0.000567312225449224,0.000558559621105795,0.00023847995415205553,0.000558559621105795,865.6054574794754,676.6054574794754,57.17755713537813,12,0,-1511.7238149238842,481.51131859555255,230.51131859555255,56.458037254059334,4,17.35405777809524,17.35405777809524,56.458037254059334,0,55.89190220463027,-7.10809779536973,65.72092635168399,0,109.47274829310908,109.47274829310908,61.98659434166393,2,46.89592254054482,-16.104077459455183,65.8120384575185,0,11.076224216232779,-1484.9237757837673,65.72712238799497,-23
DDOG,131.4499969482422,1.0,0.7170305676855895,0.2829694323144105,0.6488352027610008,0.7681159420289855,0.74478183325461,1.7988493598438242,3155,0,0,1183,0,0,0,0,845,1183,4338,1.0,1.0,1.0,1.0,0.7082128790855189,-0.43256107065125665,0.7058491548497909,-0.42612777663164,0.7097167803725415,-0.4366885140143661,0.6997353912857187,-0.4097832417604766,0.6921813099091843,-0.39014400904142393,0.7163294883482959,-0.45516570789395716,0.6921813099091843,-0.39014400904142393,0.74478183325461,1.8921322268754555,1.7988493598438242,3.4915074687724528,0.7589297371530979,0.5822556694714383,0.6705927033122681,0.7620496719181971,0.5869580836062642,0.6745038777622306,0.7569347934222799,0.5792585738527763,0.6680966836375282,0.7700340393996238,0.5990766362753482,0.684555337837486,0.7797386076547546,0.6139694200899597,0.6968540138723571,0.7480681807565437,0.5660295633074116,0.6570488720319776,0.7797386076547546,0.6139694200899597,0.6968540138723571,0.008768611692926316,0.008516139058393778,0.004714364644844366,0.001929407640691094,0.0010052837122560376,0.0007679026451536345,0.0010052837122560376,1512.3809707479675,-1642.6190292520325,139.56061153504473,-12,0,-838.2058388213281,1886.9796295083834,703.9796295083834,119.8843562182023,6,71.00811715804944,71.00811715804944,119.8843562182023,1,190.08626701281068,190.08626701281068,131.96986654540436,1,197.0267212962805,197.0267212962805,130.3128911658238,2,151.0043185551909,151.0043185551909,131.762090355537,1,19.934752490398356,-825.0652475096016,139.70097313688802,-6
MDB,383.7999877929688,1.0,0.7164821648216482,0.2835178351783518,0.7798780487804878,0.2262532981530343,0.9074251638522812,2.094517671309825,9979,0,0,7676,0,1151,11898,1535,1031,7676,17655,1.0,1.0,1.0,1.0,0.4283332317488632,0.13102531944548587,0.42900576255600237,0.12975759200918682,0.41115326202314556,0.16382213735568255,0.5464576719553785,-0.08416950960488055,0.5581103874337168,-0.10567137129406695,0.4736615852487584,0.047508058473253394,0.5581103874337168,-0.10567137129406695,0.9074251638522812,2.0547755574731266,2.094517671309825,3.7871757802384534,1.0989553667461973,1.1906221788450129,1.144788772795605,1.0979525058463098,1.1886139470919024,1.143283226469106,1.1252207466249904,1.2437722851498676,1.184496515887429,0.941184517891318,0.8939710830605049,0.9175778004759114,0.9267226077238045,0.8687375865191564,0.8977300971214806,1.0348057398069574,1.0653066666809445,1.050056203243951,0.9267226077238045,0.8687375865191564,0.8977300971214806,0.024732124428648534,0.016984507937873664,0.009963574266092307,0.0030564294234682525,0.0016649737643326045,0.0015736871735466166,0.0016649737643326045,4265.7145352021125,-5713.2854647978875,420.50007434541476,-14,0,-840.831157400042,3763.37449121408,-3912.62550878592,417.74350633020066,-9,150.07210983845428,150.07210983845428,349.4142833036278,0,301.1210525149026,-849.8789474850973,420.50007434541476,-2,326.32014010710327,-11571.679859892896,420.415578700021,-28,309.45792511615565,-1225.5420748838444,420.50007434541476,-3,33.01639078632946,-997.9836092136705,420.415578700021,-2
HDB,58.34000015258789,1.0,0.6082268370607029,0.3917731629392971,0.7033359809372518,0.296157059314954,0.5381764888411625,0.2339801376355195,0,117,4376,292,0,117,117,350,652,4668,4785,0.0,1.0,1.0,1.0,0.46920514870126706,0.05558897127440072,0.47078939098714,0.052714101807958,0.4572160486341134,0.07743681671656995,0.5433715397134214,-0.07851233879445843,0.5547499079607279,-0.09944572821645074,0.49300064855676684,0.012600684609678068,0.5547499079607279,-0.09944572821645074,0.5381764888411625,1.685526882462008,0.2339801376355195,1.926638246564148,1.0294470262216426,1.0371265421720377,1.0332867841968403,1.027903081241378,1.0351731182312425,1.0315380997363102,1.041256413868912,1.0520927288337232,1.0466745713513177,0.959839130561657,0.949816417339204,0.9548277739504305,0.949406290366531,0.936866778317018,0.9431365343417746,1.0066002289414764,1.0082974694077984,1.0074488491746374,0.949406290366531,0.936866778317018,0.9431365343417746,0.0,0.0010650265634081781,0.0006452426359264422,0.0003608579123185742,0.0009565857600798047,0.00019098836156136094,0.0009565857600798047,0.0,0.0,57.925290612201444,0,0,-606.4035805467213,235.98527645644097,-4432.014723543559,60.214261680821245,-74,9.718693427191612,-107.28130657280839,60.05525751786715,-2,35.551913461949496,-81.4480865380505,60.640358054672134,-1,187.4823531401569,70.4823531401569,58.31994424920872,1,37.55693195167427,-312.4430680483257,60.640358054672134,-5,18.96907323827574,-633.0309267617242,60.640358054672134,-10
POWW,2.559999942779541,0.0,0.5612867443150305,0.4387132556849695,0.5189873417721519,0.6308328411104548,0.4400734615899792,1.73908961696015,0,0,0,0,0,0,0,0,807,0,0,0.0,1.0,1.0,1.0,0.5665393245781724,-0.12138740522592983,0.5650398464896913,-0.11858040703558853,0.568580281513603,-0.12521628501833224,0.5557258776723459,-0.10125161425060199,0.5507141588524802,-0.09199640755553477,0.5689569736999471,-0.1259240291756611,0.5507141588524802,-0.09199640755553477,0.4400734615899792,1.5874238552108246,1.73908961696015,3.4317477258887785,0.945449658530128,0.8609841978237976,0.9032169281769629,0.9466768432730271,0.8639694205675332,0.9053231319202801,0.9437782843611677,0.8569288349560721,0.9003535596586199,0.954288125189846,0.8826290268299044,0.9184585760098751,0.9583783050179897,0.8927595635227712,0.9255689342703805,0.9434696651492308,0.8561813212230815,0.8998254931861562,0.9583783050179897,0.8927595635227712,0.9255689342703805,0.0,0.009873490997488877,0.005919113881533321,0.0022629446438600914,0.0007820075884797081,0.0009975394066138819,0.0007820075884797081,0.0,0.0,2.550737241395033,0,0,-791.1071928447261,2187.7374543376595,2187.7374543376595,2.3961328102722588,913,89.15414136057572,89.15414136057572,2.3961328102722588,37,222.94650997335228,222.94650997335228,2.5854872329270098,86,153.26657470774367,153.26657470774367,2.547669367203671,60,196.16127028386728,196.16127028386728,2.5818055748534814,76,15.507192180575041,-791.4928078194249,2.78558870719974,-284
