stock,yestDir,direction,RSI,RSIRev,fair_value_mult,drop,climb,geomean,score,sharpe,wSharpe,status,statusScaled,nUpDown,buy_pt_up_p30,buy_pt_up_p40,buy_pt_up_p50,buy_pt_up_p61,buy_pt_up_p73,buy_pt_up_p84,buy_pt_up_p95,sell_pt_up_p30,sell_pt_up_p40,sell_pt_up_p50,sell_pt_up_p61,sell_pt_up_p73,sell_pt_up_p84,sell_pt_up_p95,buy_pt_down_p30,buy_pt_down_p40,buy_pt_down_p50,buy_pt_down_p61,buy_pt_down_p73,buy_pt_down_p84,buy_pt_down_p95,sell_pt_down_p30,sell_pt_down_p40,sell_pt_down_p50,sell_pt_down_p61,sell_pt_down_p73,sell_pt_down_p84,sell_pt_down_p95,price,LoHiAdj,statusAdj,statusAdj2,statusAdj3,sharpeMin,sharpeMax,adjSharpe,sharpeFinal,ssMin,ssMax,adjSS,ssFinal,inEt,inFid,in_self_managed,currentlyActive,portionET,portionFid,portion_self_managed,cappedET,cappeDFid,cappedSlf,portionNormET,portionNormFid,portionNormSelfManaged,upDownCopy,ET$,ETTarget,ETDiff,etUD,buyUpET,buyDownET,sellUpET,sellDownET,bsET,nSharesET,PctTargET,fidRoll,fidRoth,fidSI,fid (ALL),FidTarget,FidDiff,FidUD,buyUpFid,buyDownFid,sellUpFid,sellDownFId,bsFid,nSharesFid,pctTargFid,TotalIn,TotalTarget,TD,TDTarget,TDDiff,tdUD,buyUpTD,buyDownTD,sellUpTD,sellDownTD,bsTD,nShrs,DMIRA,DMTarget,DMDiff,DMAmtIO,DMfBS,DMdiAmt,DMBSPt,DMNShares,statCopy,Owned,rsiWt,rsiWtRenorm,rsiDollarsTarget,rsiDollarsIn,ddiff,Adel,AdelRaw,AdelNorm,AdelCap,AdelRenrom,AdelIn,AdelDiff,pricecopy
AAPL,1,1,0.439872153,0.560127847,0.740166865,0.251149185,0.356874216,0.299380475,0.507509465,0.976333467,-0.538492306,0.430745727,0.126482844,0,146.24,146.96,147.32,147.64,147.99,148.29,148.95,151.71,151.27,150.6,150.04,149.41,148.76,147.96,145.37,145.89,146.26,147.05,148.5,148.87,149.35,151.93,150.73,150.15,149.96,149.54,149.18,147.61,148.91,1.019,1.09,1.091,1.091,0.006,1.09,0.976,1.971,-1.536,1.669,-0.538,1.998,0,1,1,1,0,17.4,17.4,0,17.4,17.4,0,0.002292757,0.000808938,0,0,0,0,0,146.96,145.89,151.71,151.93,151.71,0,#DIV/0!,0,596,0,596,312,-284,0,147.32,146.26,151.27,150.73,151.27,-2,1.91,596,318,0,6,6,1,147.64,147.05,150.6,150.15,147.64,0,0,4,4,4,0.001,4,147.64,0,0,596,0.005395603,0.005395603,576,298,278,596,1.09,0.001,0.001,0.002,253,-343,148.91
ABMD,0,0,0.924490611,0.075509389,0.402264601,0.889469285,0.764521521,0.824632288,0.723199508,0.930871288,0.564054598,0.627580351,-0.241556728,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.764,0.854,0.807,0.761,0.006,1.09,0.931,1.925,-1.536,1.669,0.564,3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,#DIV/0!,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,#DIV/0!,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0.000727367,0.000727367,78,0,78,0,0,0,0,0,0,0,-1
ABNB,1,1,0.836734694,0.163265306,0.609403255,0.881118881,0.981351981,0.929885885,0.852002796,0.186574164,-0.396887756,0.766974629,-0.618926232,-1,123.81,124.34,125.19,125.77,126.23,127.45,128.97,131.91,130.3,129.65,128.27,127.77,127.26,126.28,124.16,124.33,124.8,125.27,125.79,127.12,127.65,130.35,129.71,128.9,128.41,128.16,127.12,125.58,127.21,0.811,0.902,0.763,0.625,0.006,1.09,0.187,1.181,-1.536,1.669,-0.397,2.14,1,1,1,1,1.2,18.9,16,1.2,18.9,16,0.001267657,0.002496587,0.00074466,-1,0,124,124,1,123.81,124.16,130.3,129.71,123.81,1,0,0,127,0,127,340,213,1,124.34,124.33,129.65,128.9,124.34,2,0.37,127,469,0,5,5,1,125.19,124.8,128.27,128.41,125.19,0,0,3,3,3,0.001,3,125.19,0,-1,127,0.001572703,0.001572703,168,0,168,0,0.62,0.001,0.001,0.001,145,145,127.21
ACN,0,0,0.117459049,0.882540951,0.642431466,0.131633932,0.233597994,0.175355133,0.374900433,0.734790799,-0.386910078,0.190199589,0.803519914,0,264.31,265.29,266.21,267.17,268.62,269.42,270.4,273.83,273.05,271.92,270.67,269.04,268.45,267.32,263.78,265.94,266.59,267.57,268.15,269.83,272.09,276.34,273.73,271.62,269.81,269.28,268.16,266.07,269.63,1.189,1.553,1.701,1.849,0.006,1.09,0.735,1.729,-1.536,1.669,-0.387,2.15,0,1,1,3,0,33.1,109,0,33.1,109,0,0.004377579,0.005071824,1,2157,0,-2157,0,265.29,265.94,273.83,276.34,276.34,-8,#DIV/0!,0,1618,0,1618,596,-1022,0,266.21,266.59,273.05,273.73,273.73,-4,2.71,3775,631,0,35,35,1,267.17,267.57,271.92,271.62,267.57,0,0,22,22,22,0.005,22,267.57,0,0,3775,0.008501346,0.008501346,907,809,98,539,1.85,0.002,0.002,0.004,428,-111,269.63
ADBE,0,0,0.122253296,0.877746704,0.063170441,0.157542833,0.602173005,0.30800656,0.278232886,0.858695483,-0.415878982,0.110065039,1.41521991,0,341.32,342.62,343.39,345.25,346.25,348.63,349.36,355.56,353.82,352.28,351.2,348.23,347.38,344.86,342.32,342.9,344.44,346,347.71,350.5,355.28,359.22,356.28,355.23,352.39,349.95,348.73,344.85,348.72,1.186,2.394,2.646,2.897,0.006,1.09,0.859,1.853,-1.536,1.669,-0.416,2.121,0,1,1,1,0,48.4,53.5,0,48.4,53.5,0,0.006392644,0.002490433,1,0,0,0,0,343.39,344.44,355.56,359.22,359.22,0,#DIV/0!,0,0,0,0,870,870,1,345.25,346,353.82,356.28,346,3,0,349,888,349,17,-332,0,346.25,347.71,352.28,355.23,355.23,-1,0,11,11,11,0.002,11,355.23,0,0,698,0.008455164,0.008455164,902,697,205,1046,2.9,0.004,0.004,0.006,671,-375,348.72
ADYEY,0,0,0.346841478,0.653158522,0.347010551,0.447187929,0.348422497,0.394728178,0.48220836,0.748606198,-0.429042993,0.361519515,0.264669584,0,14.34,14.45,14.63,14.74,14.77,14.93,15.25,15.19,15.14,15.05,14.81,14.68,14.53,14.24,14.59,14.66,14.7,14.76,14.86,14.99,15.12,15.26,15.18,15.12,14.97,14.85,14.69,14.59,14.82,1.068,1.158,1.188,1.218,0.006,1.09,0.749,1.743,-1.536,1.669,-0.429,2.107,1,1,0,1,11.2,22.8,0,11.2,22.8,0,0.011732433,0.003017201,0,0,2445,1151,-1294,0,14.45,14.66,15.19,15.26,15.26,-85,2.12,0,430,0,430,411,-19,0,14.63,14.7,15.14,15.18,15.18,-1,1.05,2875,1561,0,0,0,0,14.74,14.76,15.05,15.12,15.12,0,0,0,0,0,0,0,15.12,0,0,2875,0.00629175,0.00629175,671,904,-233,800,1.22,0.002,0.002,0.003,282,-518,14.82
AGI,0,0,0.091090691,0.908909309,0.388160509,0.689511074,0.806310071,0.745627067,0.681575027,0.225547397,0.523779638,0.201403419,0.749591713,0,9.83,9.87,9.92,9.94,10.03,10.06,10.12,10.27,10.25,10.22,10.18,10.08,10.03,9.98,9.84,9.87,9.89,9.92,9.94,9.99,10.15,10.27,10.18,10.13,10.11,10.04,10,9.98,10.04,1.203,1.161,1.737,2.313,0.006,1.09,0.226,1.22,-1.536,1.669,0.524,3.06,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.87,9.87,10.27,10.27,10.27,0,#DIV/0!,0,10,0,10,0,-10,0,9.92,9.89,10.25,10.18,10.18,-1,#DIV/0!,10,0,0,0,0,0,9.94,9.92,10.22,10.13,10.13,0,0,0,0,0,0,0,10.13,0,0,10,0.008755347,0.008755347,934,894,40,0,0,0,0,0,0,0,10.04
AMD,0,0,0.337195366,0.662804634,0.225268176,0.35562056,0.523610531,0.431516709,0.452557503,0.870596045,0.15185721,0.308572114,0.388217272,0,74.21,74.73,75.11,75.42,75.7,76.1,77.36,78.87,78.4,78.04,77.23,76.74,76.04,75.31,74.54,74.62,75.02,75.34,75.63,76.1,77.05,78.58,77.94,77.57,76.95,76.81,76.47,75.98,76.61,1.073,1.274,1.371,1.468,0.006,1.09,0.871,1.865,-1.536,1.669,0.152,2.688,1,1,1,1,17.8,66.5,71.6,17.8,66.5,71.6,0.018533245,0.008785035,0.003333058,0,1073,1818,745,1,74.73,74.62,78.87,78.58,74.62,10,0.59,1379,0,306,1685,1196,-489,0,75.11,75.02,78.4,77.94,77.94,-6,1.41,2758,3037,0,23,23,1,75.42,75.34,78.04,77.57,75.34,0,0,15,15,15,0.003,15,75.34,0,0,2758,0.006384669,0.006384669,681,306,375,0,1.47,0.002,0.002,0.003,340,340,76.61
AMEH,0,0,0.31921694,0.68078306,0.310810811,0.435018805,0.27580443,0.346381456,0.439441781,0.524951244,-0.550485641,0.324779095,0.348063284,0,32.01,32.31,32.4,32.49,32.6,32.85,33.22,34.23,34.14,33.88,33.6,33.48,33.33,33.22,32.26,32.36,32.53,32.76,32.9,33.25,33.65,34.22,34.15,34.05,33.83,33.74,33.56,33.07,33.16,1.083,1.157,1.213,1.27,0.006,1.09,0.525,1.519,-1.536,1.669,-0.55,1.986,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.31,32.36,34.23,34.22,34.22,0,#DIV/0!,0,663,0,663,0,-663,0,32.4,32.53,34.14,34.15,34.15,-19,#DIV/0!,663,0,0,0,0,0,32.49,32.76,33.88,34.05,34.05,0,0,0,0,0,0,0,34.05,0,0,663,0.006557851,0.006557851,700,730,-30,0,0,0,0,0,0,0,33.16
AMGN,0,0,0.038353975,0.961646025,0.856972586,0.01671542,0.186794818,0.055878026,0.227437599,0.61460986,-0.042159109,0.066465884,2.166323185,0,232.05,232.91,233.49,233.72,234.04,234.57,235.78,237.73,237.35,237.21,237.04,236.57,236.28,235.89,232.95,233.32,233.7,234.02,234.53,234.99,236.35,238.44,237.84,237.51,237.11,236.36,236.13,235.42,236.16,1.23,2.802,5.022,7.243,0.006,1.09,0.615,1.609,-1.536,1.669,-0.042,2.494,1,1,1,1,48.5,108.5,194.4,48.5,108.5,194.4,0.050658373,0.014321426,0.009049587,2,23380,4968,-18412,0,233.72,234.02,237.73,238.44,238.44,-77,4.71,6612,1181,0,7793,1950,-5843,0,234.04,234.53,237.35,237.84,237.84,-25,4,32118,6981,945,63,-882,0,234.57,234.99,237.21,237.51,237.51,-4,0,40,40,40,0.009,40,237.51,0,0,33063,0.00926335,0.00926335,988,1417,-429,1889,7.24,0.01,0.01,0.016,1677,-212,236.16
