,dar,dar_0,dar_1,dar_2,dar_3,dar_4,dar_5,dar_6
TSLA,1.0015140038730577,0.9863297374561734,0.9984969303357663,1.004797054602955,1.0114425721687783,1.0035398032800371,1.0012508798484236,1.0077671059379851
AVGO,1.001216766647899,0.987448271071674,0.9998656791487187,1.0035409090765073,1.0074510678487854,1.0027910029906226,0.9996442832412018,1.0069344255255512
NVEE,1.001201262746082,0.990158947868453,1.0001422347492763,1.0024546777466787,1.0039791060454641,1.0021295149019378,1.0006556195976695,1.0058873879813135
NFLX,1.0012002654515852,0.9896496002536908,1.0004109325775359,1.0016138914196728,0.9876869217773976,1.0034181494527932,1.0003103575803467,1.0062041063405989
QLYS,1.0011726709804842,0.9867352738704115,0.9992479562620471,1.0028851831807106,1.021171869806491,1.0030693464400255,1.0013376531434177,1.0060017862470951
EPAM,1.0011653649128216,0.9877522136448762,0.9991841993393643,1.003081663772069,1.0049541233125803,1.0031181323521063,1.0023424008565618,1.0049549875238502
FTNT,1.0011494685523221,0.9867444256338718,0.9991524453377923,1.003271154028754,1.0086326123525626,1.002999013654066,1.0017050343205465,1.006831083150186
AMBA,1.0011441717532614,0.9842137841938705,0.9975074328712775,1.0027664989011789,1.0098469560122274,1.0034674214496113,1.0050216474631666,1.007258502140659
NOW,1.0011122756662836,0.9860832300398843,0.9995759792787434,1.001747019300962,1.017776927498386,1.0029639265724344,1.0005339976596554,1.0070333441089654
TRGP,1.0010763321144187,0.9880709161379921,1.0009428830480473,0.9997775827135144,1.0140198724267182,1.0018053798907693,1.0031709787346832,1.0068454903177022
PANW,1.0010637411476262,0.9883230397285868,0.999600628575214,1.0024669304628941,1.0166891053244722,1.0029573286964906,1.0003670625159558,1.0052300111037742
NVDA,1.0010436267774168,0.9850177805494169,0.9978094511057184,1.0023834345624911,1.010169639826769,1.0033403548561024,1.0033766653913294,1.0131535398590965
CDW,1.0010247825618528,0.9890857668469251,0.9997680712431204,1.0017142414129574,1.0271750348816806,1.002028781653984,1.0015912764365598,1.0059562093454464
ENPH,1.0010211755101115,0.9830732776198285,1.0012376880380645,1.0007097139596126,1.0166692658244516,1.0029665652915873,1.0028342696927648,1.0070721876811335
SPSC,1.0010106942297479,0.9899706829023374,0.9998641276856554,1.0020968235592607,1.0068963441744618,1.002182226058203,1.0012828435579353,1.005908581416431
TJX,1.0010099144293427,0.9925515145399977,1.000189257136868,1.0014660309197283,1.0078335613327918,1.0016059744230026,1.0028180805686773,1.006294259408858
CF,1.0010056725279808,0.9879745176250427,1.0004537762132868,1.0022267602507686,1.0089787392161775,1.002141416464022,1.0034437099644016,1.0064969860051196
TDG,1.0010036066551173,0.9904562998607075,1.0000299000239055,1.0022803440765278,1.0110790495293447,1.0021490399760293,1.0022709950179571,1.006340117296899
MDXG,1.0009999272067567,0.9892156286014531,1.000825894737566,1.0032654054790955,1.0084457645217797,1.0027305974246334,1.0059372200357541,1.001792313845574
LULU,1.0009858345824465,0.9877209276137525,0.9999231222915158,1.001495228759222,1.023203950999871,1.002825207507255,1.004634433921293,1.0056390348898279
TPX,1.000981098310003,0.9878563318022479,0.9995526162327226,1.0011026648030317,1.0123235031237672,1.0029528615392358,1.0026178164501074,1.0066279354437082
FANG,1.000966144988687,0.9889776022329814,0.9998353603703175,1.0036999276477556,1.0045191076058815,1.0016199416255214,1.0006838069037172,1.0063443621471075
NKE,1.0009637572027645,0.9928674943351209,0.9996290435065847,1.0016517642362623,1.0097892169361355,1.0020889706719858,1.0027994783381955,1.0055505703610401
AXON,1.000963172814195,0.9878607414105123,0.9987739484953271,1.0049758731482403,1.0091988272534953,1.0015985215405654,1.0047751997159469,1.007695474290539
MA,1.0009619349037766,0.9889440674175898,0.9992876662888734,1.0026089174127946,1.006952180520855,1.0024934278349535,1.0030349986588107,1.0067112795167543
MSFT,1.000961297268086,0.9895315621617821,0.9995556996695931,1.0017686646898225,1.0180698085444964,1.0021778286561618,1.0027260086430811,1.007389735029997
UNH,1.0009538880556603,0.9925479141161491,0.9997108743792572,1.001717180915258,1.0132298927183923,1.0019143647475441,1.002386809257779,1.0051197062231525
BAH,1.0009473746013813,0.9930430100684065,1.0003089667530112,1.001624636672734,1.0234778172191992,1.0013767979631263,1.002002109226878,1.0045164081626055
ADBE,1.0009213607656653,0.986406863096001,0.9996058023974858,1.0024335446576704,1.0199638796080286,1.002288353552719,1.0010821334101756,1.0097844606900728
POOL,1.0009187332223093,0.9939681575898222,0.9997095632639081,1.0018217734161878,1.0043519869269888,1.0019453992396488,1.001828404011539,1.004958110810125
SMCI,1.000914809073106,0.9878268620881714,1.0004861695438465,1.001861394747993,1.0105982628547316,1.002355999067845,1.0008418420523353,1.0079334497256944
LPLA,1.0009121467646034,0.9879192678645808,0.9998202810797706,1.0041080483027063,1.0049464588838646,1.0020156109103848,1.0019187928846454,1.0050390036058605
HD,1.0009103609329886,0.991233401094797,0.999533871011469,1.0022437717118928,1.015011261792092,1.0015308064014425,1.0039701764364277,1.0064663139019663
MPC,1.0009062577328653,0.9877733681086027,0.9996747534338674,1.003907457678973,1.029861536220524,1.0014248633548106,1.0025998796562485,1.0063008276770686
CTSH,1.0008986435468625,0.9896797224304001,0.9993763394008762,1.0020192765950369,1.0139686538069415,1.0017460178495006,1.0036731048897845,1.008887431115776
ENSG,1.0008915327490553,0.9918974832687931,1.0000490645769222,1.0018630051761521,1.0202478728113769,1.0017984204167418,1.001386014627336,1.0058154354062816
CROX,1.000890819257195,0.9881690526233904,0.9993215762162022,1.0019245979055011,1.022639602427889,1.00314878425074,1.0018580085496336,1.005497709507289
APO,1.0008879037168,0.9855442022220188,1.0002752987626498,1.0004113950637197,1.034705058848732,1.002778557543797,1.0025054829115132,1.005374059393462
UI,1.0008809943825059,0.9879299385891179,0.999445328199748,1.0026573946839903,1.014139966681734,1.003530981751581,0.9973087758428112,1.0044389035450587
AMZN,1.0008755352881884,0.9860864803857158,0.9998115928347067,1.0007229733863547,1.0108310407322731,1.002590855823661,1.0036856919367037,1.011168402740757
CNC,1.0008723524339929,0.9907854824631972,0.9993220321943627,1.0022487195579568,1.0230332787073912,1.0022621234709697,1.001122757802902,1.0058826739182347
BCC,1.000866007704045,0.9872927406395028,1.0008279275034633,1.001446447800316,1.0284620869425956,1.0020019314217319,1.003241776471941,1.0052630671484142
MSCI,1.000863366360362,0.9889725658175088,0.9997631674438212,1.0017959682723765,1.0208123932003312,1.0024069498954202,1.0025098164475643,1.0065994958841928
ADUS,1.0008628107435882,0.9903630436462808,0.9991317339456144,1.0018288844329521,1.0108687473497069,1.0028148549296652,1.000111565368014,1.0043271602372856
MOH,1.0008529891669105,0.9894926016081672,1.00024714727062,1.0016666633125182,1.0097347644732673,1.0023304132662931,1.0020207608531422,1.005139116560679
CSCO,1.0008512210309197,0.9863896238454145,0.9993255424146847,1.0013754700272157,1.0143373647874598,1.0026174626554336,1.0035182112520555,1.0086054601488572
ABBV,1.000845882717432,0.991266791069629,1.0007229103089146,1.0009182449158578,1.0181878317855189,1.0019312725969363,1.0013567979470939,1.0038660177747163
TTC,1.0008430404256698,0.9934914861179497,1.0000255623457157,1.001531324708037,1.0075669272667869,1.0020213282532522,1.0018981583628732,1.0044763889605837
MUSA,1.0008402484073387,0.9929823757227729,1.0014664548644099,1.001174599947399,1.0256274494851556,1.001369818736458,1.0009580411983554,1.003052569905831
SAIC,1.0008375544430994,0.990972643448333,1.000277762231102,1.002511346115334,1.0356106111630226,1.001248427017839,1.002220430003639,1.0044786078291401
FAST,1.0008363101618445,0.989938683408558,0.9994409338993271,1.0022585935546073,1.0151210167041504,1.0021296229395233,1.0023275861180745,1.0060813538640463
HCA,1.0008338988147176,0.9899679674301073,0.999696806622407,1.0013685348011918,1.0275769637380594,1.002140090125269,1.002258198098461,1.0041446950214752
UVE,1.0008290139833305,0.9937183199396746,0.9987342954745172,1.00192092159759,1.0162615833334205,1.002349445215913,0.9999620330698153,1.0046593233029786
ORCL,1.0008281976755777,0.98803433354882,0.9995663723540427,1.0011533663777543,1.013332901933109,1.0022141301229635,1.0023892801973113,1.009261254689575
MCHP,1.0008261545187693,0.9862161184759767,1.0000009710775295,1.0018058052162537,1.0153848882746404,1.0028568022452862,1.0022342767939179,1.0079919917231999
IDXX,1.000824282144778,0.992094452676238,1.000371298734427,1.0003513529712993,1.0063723595622747,1.002101285509333,1.0014733067732395,1.005617428321008
PGR,1.0008222367736426,0.993916326113168,0.999575071514341,1.001621259157602,1.0159839960015786,1.0013294730365587,1.0018238299246063,1.0054747406302023
BBY,1.0008099546456126,0.9878479683959748,0.9995115483876328,1.0020676628057248,1.0148336453045388,1.0026450073911481,1.000246577886425,1.0075873073633512
MTDR,1.000806788919438,0.9875122574338503,1.000019738326436,1.0022749655552818,1.0386054589841878,1.0011643808434283,1.0003978945776448,1.0078135729497286
GIL,1.0008059291851374,0.994957513751038,0.999767597887157,1.001076929396916,1.0097143762029048,1.002109458890353,1.0019859385418175,1.0040407966580356
DPZ,1.0008036102936972,0.992738280113616,0.9995634408564751,1.0004894456174944,1.00442584066524,1.0019238759986162,1.0041536434941594,1.004140865541814
NVO,1.0008031769251737,0.9952704605467613,1.0005643259584478,1.0012984111481382,1.0086555487056195,1.0014883656364635,1.0004136007988773,1.0042973113835731
PRI,1.000802127806536,0.989723894482914,0.9997629522449936,1.0023811799185183,1.0244757661161932,1.0015102173963406,1.0022015337171564,1.0053123409015388
CPRT,1.0008015379152537,0.9925055711779412,1.0000844928477983,1.0018860605218876,1.0096313854523968,1.0019155560196227,1.0023696568869784,1.0043271672551184
CME,1.0008013380808332,0.9921210456304371,0.9990108036770537,1.0019412825053953,1.0173890375095556,1.001693409104358,1.0009181414726323,1.0051965022195057
FICO,1.0007949958207842,0.9911314614918196,0.9999346787157319,1.001918116745779,1.00930235925737,1.0019406508567539,1.0028544369600683,1.00528671698653
CMG,1.0007941840980428,0.9924579963964089,1.0003144274280236,1.001156808117787,1.0113158577278165,1.0017439892888782,1.0033522316920314,1.0041040710742248
USAC,1.0007937529488116,0.991075112192689,0.9998004459242651,1.003673016120862,1.0278493890075766,1.0011133407941275,1.0009885606543434,1.004692551935855
GTLS,1.000788255718973,0.9809909194401615,1.001379336274618,1.0028208790833424,1.0261628395760596,1.0022756700953013,1.0019702294097819,1.0091542258480741
FN,1.0007852513337623,0.9868685221045533,0.9989431973357566,1.0017780996643857,1.0067744722839622,1.0025928374004345,1.0001749365199302,1.0071202172068274
LYB,1.0007849311722004,0.9869923210010932,0.9997174496806488,1.003408260333014,1.0121311932835348,1.0016146848316936,1.0026972501431872,1.0059732084423025
AAPL,1.0007846159235294,0.9891875795508186,0.9993307622280456,1.0018699225632268,1.0085963067635872,1.0021410538671185,1.0022873808065695,1.0084935321718385
VAC,1.0007841301046867,0.9866986600928499,1.000079784027273,1.002720851965796,1.035368531128165,1.002061627430574,1.0014211897869392,1.0050106728683201
STE,1.000782934530244,0.9917813071231867,0.9995323474715718,1.0012876178987262,1.0090702637288698,1.0023024327490082,1.001361661493597,1.0055290863671127
AZO,1.000781788019988,0.9943014466431046,1.0000733943230762,1.0013080017465832,1.0080621278107351,1.0013383669452596,1.0022231710710674,1.0044467856773847
LFMD,1.0007813830245582,0.991169877955989,1.003818973129738,1.0080436068324663,0.9749405386808604,0.9990656465189428,0.9950042680642266,1.0075672803840932
URI,1.000776484189122,0.9842776372467137,0.9988089888516062,1.0029144146863005,1.0117399666090952,1.0035733340876485,1.002751293297105,1.0091271997524478
ADSK,1.0007728004113867,0.9867458482904832,0.9985301037269164,1.0029726376356471,1.019880214851767,1.0027390296499343,1.0018384880625728,1.0070308704557005
ULTA,1.000772380825842,0.9899442375763338,1.0000582152278783,1.0023502273355582,1.0101707898723105,1.0018404317794452,1.0025350156999169,1.0058868061036632
META,1.0007705856605844,0.9875037981558703,0.9980614284460821,1.0023121409573779,1.0093197437045733,1.002709992748892,1.0029212376680319,1.0049207391763446
EW,1.0007700278052152,0.9939808308636219,1.00001564750385,1.0012663279164442,1.0074728506433324,1.0016713183836914,1.0023105542169888,1.0046410501006042
CHTR,1.0007695409646937,0.9927160722769672,0.9995263148097749,1.000896671847616,1.0131590292670947,1.0017282647256454,1.0005302954986746,1.0047824432668058
VRTS,1.0007693795359816,0.9862440059814214,1.0005647751765618,1.0028040586986473,1.0121047073377125,1.0021587851502665,1.0031054976995297,1.0055794670436016
JBL,1.0007669460669149,0.9838305632473984,0.9997245779744345,1.001797759842382,1.0256657090639374,1.002113203901071,1.0037217228046331,1.0103878457490472
AAON,1.000766864931792,0.9923220281813367,0.9997780654691665,1.00151327973937,1.0046974871002272,1.0021481844075626,1.00119700759925,1.0051061174600115
MELI,1.0007666295313489,0.9838848517936517,0.9998002523461322,1.0030703475973768,1.0090366780025881,1.0033493448984359,1.000747628724918,1.0083298431030745
TGLS,1.0007665750636476,0.9929748871825785,1.0017665796495987,1.0033608851542477,1.004830922866205,1.0011505285116826,1.0015498487753942,1.0018187800322853
MPWR,1.0007642319791026,0.9867188374568109,0.9987485594521754,1.0033562171758186,1.0098012023257323,1.0027770723235716,1.002277361612737,1.0073756626473667
RMD,1.000761613224912,0.9923517254056472,1.0002911840742992,1.0011401064666985,1.016464968970642,1.00194052699146,1.0012691586205897,1.0051420427124749
APTV,1.0007611535158802,0.9880379900548101,0.9991584515314067,1.0026474931429263,1.0306674627547199,1.0018550449846544,1.001503115617964,1.005414253341146
TECH,1.0007599846209672,0.9923068611022281,0.9996268749373972,1.001568818635387,1.0141897445947174,1.0014971420540053,1.0023728161625305,1.005697052839331
KKR,1.0007599087203334,0.986108143218973,0.9997181235269863,1.0016850437722258,1.0151819991556088,1.0025489268703733,1.002454715942975,1.0050410888987857
STZ,1.0007566597795172,0.994607719574628,0.999298253133108,1.001638761518241,1.0059583013598,1.0018237035237565,1.0014621358609515,1.0038647655655784
GPS,1.000751416726048,0.9895973974249622,1.0001738854364812,1.0026341864886334,1.0162674045434619,1.0015297765517053,1.0026802381667002,1.0061196363022953
SAIA,1.0007507584723612,0.9879845506622387,0.9997225030067214,1.002241644135436,1.0127414629280647,1.001996790843189,1.0024203494743886,1.0064622282213098
EME,1.0007475805892045,0.9918803462482495,0.9994820431167021,1.00158875856624,1.009874350114928,1.001789472715267,1.0024697581220932,1.0053493403305227
JCI,1.0007446480396611,0.9897735536990646,1.0006252707296428,1.0019813621419156,1.0125135234708196,1.0016193812509888,1.0016936062056057,1.0059570825955833
GOOG,1.0007423364497552,0.9894552116808722,0.9991389370903251,1.0030510520667262,0.9994297135618679,1.0022424914896644,1.002290843502116,1.0060028555898157
ORLY,1.0007419503944304,0.9949837058822932,0.9999918377329358,1.0006467076180046,1.0069106053657373,1.001064277371719,1.0023777635585098,1.0049172438740166
PII,1.0007409090457708,0.9913523122055293,0.9994996985929133,1.0024425509646286,1.0127932516817761,1.0017019332203811,1.0013902163910737,1.004819338353278
