,dar,dar_0,dar_1,dar_2,dar_3,dar_4,dar_5,dar_6,dar_7
A,1.0002441738785162,0.9864289280041799,1.0003350049406166,1.00249884352774,1.0018429522739647,1.001930671869855,1.002962344078408,1.0023754998922076,1.0061499854835398
AA,1.000380802380695,0.9892081688353123,1.0006670735907188,1.0017858743661678,1.0008878537511126,1.0011841966004473,1.001442881887353,1.0036225894991824,1.005037609717729
AAIC,0.9993700358583757,0.9842660627877812,1.0000199917228998,1.0026466011465607,1.0066897875354872,1.0004892164269776,1.0021740945972186,1.0006459413879494,1.00521612724713
AAL,0.99991513933306,0.9857961095520273,0.9979151001956974,1.001289875432119,1.0063902303436354,1.0017351459479964,1.0035860362347593,1.0044069239461413,1.0076902064070772
AAME,0.9998043328692863,0.994956225821143,0.9993711117250215,1.001733256048504,1.0001491554235775,0.9997305034023726,1.0014898836054442,1.0009515499421686,1.0006104682242507
AAON,1.000767794803914,0.9921850127711249,1.001003366345939,1.0009737944563228,1.0040065400799465,1.002184452506028,1.0020214129407141,1.001194253975433,1.0037226985070438
AAP,1.0004829789687923,0.9940726838950387,1.0012851937007927,0.9999584809810365,1.0012920973930572,1.0009547128500556,1.0016709031568811,1.001279292372918,1.0031924021139682
AAPL,1.0007712323659403,0.9891186642993948,1.0007222794087032,1.0035193807378802,1.0000937795791531,1.0020870106208555,1.002106758856949,1.0031416997826217,1.0050693441658654
AAT,1.0002887012058683,0.9927118497726813,1.0009919128157845,1.0007110042994125,0.9998581576393988,1.0002701503498463,1.0020840914565086,1.00261031015071,1.003472813208942
AATC,0.9994702601130143,0.9925486666403691,0.9994655399092193,1.0006446875560908,0.9985416392580964,1.0011583301846314,1.0015694170828227,1.0008098499589135,1.0009154567843421
AAWW,1.000490562852324,0.9870538107836375,1.00088807820098,1.0012148418741673,1.0053763928937287,1.0015626167508747,1.0036364831903852,1.0037281428691711,1.007386762867536
AB,1.0006943692621977,0.9895788933508431,1.000476888393005,1.0019234013486733,1.002374246457935,1.0016572906505632,1.0043616368330184,1.0015716297156851,1.004758508353154
ABB,1.0004502669468305,0.9885140619178239,1.0006575577214878,1.0009725955191253,1.001474331771192,1.0019829918407452,1.0021156147313306,1.0026267721729805,1.0049841781370623
ABBV,1.000895669521417,0.9931526595013844,1.000908712287493,0.9994695986042111,0.9996435315009463,1.0018862929157244,1.002089452511629,1.0019577986743198,1.0046509778609005
ABC,1.0006180947657675,0.994584158366368,1.0002143835264645,1.0018898363477728,1.0016903422140349,1.0014207574804765,1.0015354390784537,1.0013218485551163,1.0034226559412518
ABCB,1.000405397309415,0.9916709185377648,0.9998732125361783,1.0007758568991245,1.0067507847146515,1.0008178527077838,1.002608702542792,1.0021183594950436,1.0041315159800142
ABEO,0.9984314814985041,0.9858217128329727,0.9993392560415393,0.9994450263855972,1.0016035266621006,0.9999487530349621,0.9993096392587527,0.9996155333678248,1.0024487484230888
ABEV,1.0004337269378507,0.9942975164546926,1.0004738935979982,1.0012065906747007,1.0023488954925008,1.0012297476924872,1.001769338537288,1.001470249047909,1.0028326211075667
ABG,1.0005441388339564,0.9873755994015453,1.0013613186294348,1.0026366763890553,1.0067572252168289,1.001533249065948,1.0039086965838204,1.001933425864784,1.0052191295474984
ABIO,0.9975611090962208,0.9866326172684923,0.9984246262573967,0.9988772976655578,0.9980049007059172,0.9990455938193767,0.9974621286198865,0.9986951727658946,1.001753806202402
ABM,1.0004747151356994,0.9934873100864381,1.0005827393726179,1.0017408828458507,1.0010174548727615,1.0009658464931834,1.00118097760235,1.0005268478258977,1.0035745067964088
ABR,1.000283215147365,0.987615116175215,1.000747943417454,1.002924388742062,0.99930146977786,1.001434374078122,1.0068138257596941,1.0015617818659588,1.0033144939254126
ABST,1.000387080918129,0.9963485828247671,1.0015252681651459,0.9997686015334074,1.0056900183839668,1.0002993198351615,1.001052234256948,1.0015093132946897,1.0022578949047452
ABT,1.0006399388442566,0.9939247288524843,1.0004318387216804,1.001480083215502,1.0010510117223708,1.001339252301546,1.0016434859575034,1.0020632449204847,1.003103273541709
ABUS,0.9992408074348823,0.9910734612461634,0.9983598776152723,1.000045521512626,1.003057165636175,1.0015109093487902,1.0054237008146185,0.9997101167222479,1.001188086852578
ACAD,0.9998912133426925,0.9878961159809387,0.9986342995899196,0.9984062414880145,0.9995268380010144,1.0019721147675515,1.0068458965037808,0.9991255581096782,1.0062730599081202
ACCO,0.9994587906625327,0.9857168915861747,0.9993242009601393,1.0020848192353913,1.0032131467036594,1.0009608368714062,1.0018108047473866,1.0006432660799949,1.0073195496402843
ACER,0.9977168287461464,0.9864156414205898,0.99942076709615,0.9945688685856324,0.995940943505682,0.9990354569618882,1.0023115325523768,0.9965483784073308,1.004231468114738
ACGL,1.0004875684379917,0.994840914332116,1.0010830256058298,1.0010367058480338,1.000248119715029,1.0009263739436218,1.0011800173696754,1.001250592559553,1.0020785393532483
ACHC,1.0000203860065855,0.9913037084366576,1.0014334567663687,0.9991108281670087,1.0020655171822515,1.0010459654656458,1.0036523236288308,1.0002808155769167,1.0023260979688913
ACHV,0.9985467109402694,0.9870212458659386,1.0009468810941824,0.9986943982965281,1.0022884939013281,0.9985190062422558,1.0036239101482922,1.000232858845861,1.0018774654798583
ACIW,1.000383775648848,0.9899385586100118,1.0004617153318418,1.001681483719047,1.001032866349602,1.0015397634739978,1.0031197000337513,1.0022257517789448,1.0037643602841493
ACLS,1.0002980615389025,0.9827704652671642,1.000442098564163,1.0008726087400015,1.0046263569871323,1.0023817930283008,1.0060081280018969,1.0017280843511787,1.007639478781233
ACM,1.0005424352225234,0.9895825155392821,1.001169774725317,1.0002304499332617,1.0019184901794438,1.0013628262791263,1.0035667598838725,1.0031200236518183,1.0071019980265707
ACN,1.000620512946905,0.9917152030851304,1.0008030082153303,1.0016676243029519,1.0014631559257459,1.001665567954818,1.0030135288566993,1.0020676165919138,1.003705308373675
ACNB,1.0002182407239264,0.9977637967141764,1.0004871105892217,1.0007324242320959,1.0025635222698068,1.0004613023160267,1.001307327481408,1.0003864401566962,1.000529148476405
ACNT,1.0000723664051514,0.9922446229244329,0.999468614410586,1.0005598891417735,0.9998539349152081,1.0019268941412358,1.0012942138315164,1.0017939532261193,1.0019358985565006
ACR,0.9998588431532356,0.9870888845582938,0.9997115186827953,1.0036058251817628,1.001555881017777,1.000477765331616,1.0018121556546196,1.0016242742084933,1.0066214349722848
ACRE,1.0003938927675804,0.9900997379260627,1.0016298607677914,1.001467158857013,1.000131262003361,1.0007865765795612,1.000633315290251,1.0028409840732628,1.0036546297855014
ACRX,0.9989104125734839,0.9862175128879709,0.9956701402462521,0.999807197268104,1.0164478362472793,1.0012024033044318,1.0051087938935985,1.0014987192902287,1.0018271292586691
ACTG,1.000139909948532,0.990736299366331,0.9991487281966435,1.0003800261567126,1.0026015245749946,1.0006546041897388,1.0024722948881062,1.0023951662222788,1.0054158641717443
ACU,0.9999512106315631,0.9955416505573823,0.9999155909646437,1.0011271395211534,1.0001614785902118,1.0003537877747009,1.0005166402556547,1.0003523783157497,1.0016594233641691
ADBE,1.0008897512714265,0.9871042901168741,1.0005668353723607,1.0031561167687875,0.9996706271260393,1.0023832608868541,1.005367110549729,1.0018366912989523,1.0063204102841592
ADC,1.0005212118449984,0.9953856242041097,1.0008445505774521,1.0015064558288442,1.002194308192078,1.0003098959606889,1.0018980198871053,1.0005078545512973,1.0028297640569512
ADD,0.9980152910586197,0.9870428825393087,0.9998831987340715,1.005079938817943,1.0036798305371422,0.9988793654783097,0.997859379156454,0.9939509016152563,1.004946861396881
ADEA,1.000200606198167,0.9896823476454542,1.001599450925856,1.000073205625954,1.0022692725757543,1.0006846623658334,1.0035414156785656,1.0012957178778625,1.0051493469873045
ADES,0.9999140850853724,0.9874093370627087,0.9999980272923882,1.002071175580246,1.0117266849631097,1.0018101677636224,1.0015718294678477,1.002006068610177,1.0026052384433162
ADI,1.000518159897146,0.9862536879951467,1.0007280811947386,1.0031156783071287,1.000099605296344,1.002158129456313,1.002155455007823,1.0025411926133596,1.0062204850097913
ADM,1.0004655434770284,0.9931638290594825,1.0006721391099624,1.0014467694584597,1.0015488756341409,1.0013308922315218,1.00094725527898,1.000888330678271,1.003088538189336
ADP,1.0006316487148101,0.9935051019660278,1.0002155838194942,1.0015229890957213,1.001214837217473,1.0011724216531368,1.0015527723683593,1.0020743709155948,1.0038488134253023
ADSK,1.0007772884328214,0.9864428439133168,0.9998185640566507,1.0030656146791248,1.0033262616169338,1.0021170223453126,1.0044093746870002,1.0023231407415174,1.0063533291316507
ADTN,1.0003034862185844,0.9889454611162339,1.000812386511112,1.0008413447855893,1.0004218385616195,1.0018162839287508,0.9998578114561035,1.0006683337971585,1.005291219909076
ADUS,1.0009161690037294,0.9922044949621933,1.0010364525598654,1.0017012277909068,1.0124167368076498,1.0025045415138059,1.0038502565691605,0.9993319080283268,1.0035326123886157
ADX,1.0004362857888531,0.9935371775585328,1.000081176033773,1.0013755388221957,1.0008840649492419,1.001075072540712,1.0014984868458265,1.001361510765825,1.0034454082953084
ADXS,0.9975267979193952,0.9872196888730347,0.9955344835067149,0.9990418102870925,0.9812179972112451,1.000163205413774,1.0011515614541189,1.0001397157589618,1.0013906927524656
AE,1.00013463473876,0.9914261524162413,1.0003187898054742,1.0015684343379272,1.0018345221657041,1.0007936525097363,1.0012000933445755,1.0001501330849274,1.0032012269938357
AEE,1.0003765431351868,0.9962841343681925,1.0005489282980813,1.0007310338842401,1.000549616142215,1.000502784392953,1.0004052968307504,1.0011344045527277,1.0024691666271492
