,price,direction,RSI,RSIRev,fair_value_mult,geomean,sharpe,weighted_sharpe,et,schwab,rollover,roth,simple,fid,Owned,inEt,inFid,in_self_managed,currentlyActive,status,status_scaled,sharpe_capped,sharpe_scaled,weighted_sharpe_capped,weighted_sharpe_scaled,sharpe_adj_status,w_sharpe_adj_status,mean_sharpe_adj_status,et_norm,fid_norm,schwab_norm,et_target,et_diff,et_bid_ask,et_nshares,up_down,exact_amt,fid_target,fid_diff,fid_bid_ask,fid_nshares,schwab_target,schwab_diff,schwab_bid_ask,schwab_nshares
HD,292.82000732421875,0,0.005591054313099,0.994408945686901,0.5496425734710088,0.1077694235588972,0.7663677002964869,2.14504710201493,0,0,0,0,0,0,0,0,0,1.0,1,0.01579316622734828,5.0,0.7663677002964869,1.913240693841293,2.14504710201493,4.006507909213906,25.635869245172184,1032.3572737749762,528.9965715100742,0.0,0.0,0.061157453035290694,0.0,0.0,301.39609297962807,0,1,587.4263638673996,0.0,0.0,301.39609297962807,0,631.793184326374,631.793184326374,293.7131819336998,2
KO,53.13999938964844,0,0.0047923322683706,0.9952076677316294,0.619142176330421,0.0075187969924812,0.4390828328092543,0.6247326287459986,0,372,0,2976,0,2976,3348,0,1,1.0,1,0.008739175686019987,5.0,0.4390828328092543,1.5859558263540605,0.6247326287459986,2.486193435944974,10.033568817008128,94.98927598692875,52.51142240196844,0.0,0.017478981565989527,0.05367931235045756,0.0,0.0,54.31913763488788,0,1,159.8375858884477,2463.8931742828945,-512.1068257171055,54.31913763488788,-9,554.5395041676368,182.53950416763678,53.27919529614923,3
STZ,236.6100006103516,0,0.0043929712460063,0.9956070287539937,0.2875297855440826,0.1286549707602339,0.6971317149360404,0.9032382025035228,0,0,0,0,0,0,0,0,0,1.0,1,0.012558239281448967,5.0,0.6971317149360404,1.8440047084808464,0.9032382025035228,2.7646990097024986,21.32112558475559,161.52482709534874,91.42297634005216,0.0,0.0,0.061157453035290694,0.0,0.0,242.49862130166252,0,1,712.0183757519624,0.0,0.0,242.49862130166252,0,631.793184326374,631.793184326374,237.33945858398747,3
DPZ,341.5599975585937,0,0.011182108626198,0.988817891373802,0.034551231135822,0.3233082706766917,0.7240315228454447,2.3158687344162168,0,0,0,0,0,0,0,0,0,1.0,1,0.024698651054567897,4.1119882807032475,0.7240315228454447,1.870904516390251,2.3158687344162168,4.177329541615192,13.142351760951241,357.37842557376405,185.26038866735763,0.0,0.0,0.061157453035290694,0.0,0.0,348.72577968661363,0,1,680.4310482204992,0.0,0.0,348.72577968661363,0,631.793184326374,631.793184326374,340.2155241102496,2
BYND,8.260000228881836,0,0.0117860380779691,0.9882139619220308,0.1074306177260519,0.2316213494461228,-0.1582136099543091,-0.466129534665922,2065,0,0,917,0,917,2982,1,1,1.0,1,0.030465550634260107,3.666801374466257,-0.1468729935448061,1.0,-0.466129534665922,1.3953312725330536,1.0,3.392368521622355,2.1961842608111777,0.01904176993306264,0.0006132060602713314,0.00022273659980251973,1946.6953613897995,-118.30463861020053,8.826335599298265,-13,1,0.0,86.43948851523973,-830.5605114847602,8.803389542211322,-94,2.30100271791991,2.30100271791991,8.128306769317513,0
PAC,132.2100067138672,0,0.0151757188498402,0.9848242811501596,0.5158856235107228,0.0367585630743525,0.5435342914489713,0.0525878356143664,2115,0,0,2776,0,2776,4891,1,1,1.0,1,0.031566421658995925,3.5923144982260156,0.5435342914489713,1.6904072849937775,0.0525878356143664,1.9140486428133419,6.591991709696282,10.30062896607154,8.446310337883912,0.01904176993306264,0.014312834896830101,0.003033139717829552,1946.6953613897995,-168.30463861020053,137.15161844954423,-1,1,0.0,2017.5830081288407,-758.4169918711593,136.98959718508465,-6,31.334153169009966,31.334153169009966,131.70220516557907,0
MTCH,37.29999923706055,0,0.0183706070287539,0.981629392971246,0.1318506751389992,0.3492063492063492,0.4372162315290572,0.2735519048877673,2611,0,75,2798,0,2873,5484,1,1,1.0,1,0.046237246536261434,2.82182680425121,0.4372162315290572,1.5840892250738632,0.2735519048877673,2.135012712086743,3.662212518765468,8.501803481059493,6.082007999912481,0.01904176993306264,0.01230956002840554,0.0033811337222033142,1946.6953613897995,-664.3046386102005,39.086505837360754,-17,1,36.60408427524944,1735.1949721961357,-1137.8050278038643,39.070011488158535,-29,34.92914003059355,34.92914003059355,36.60408427524944,1
JCI,52.34999847412109,0,0.0327476038338658,0.9672523961661342,0.6223193010325655,0.0401002506265664,0.4184308821070388,0.6306759003572762,0,0,0,0,0,0,0,0,0,1.0,1,0.052556913538050684,2.580345857576659,0.4184308821070388,1.565303875651845,0.6306759003572762,2.4921367075562517,3.177838685489693,10.550974213401947,6.86440644944582,0.0,0.0,0.0070844140956812405,0.0,0.0,52.877461559698276,0,1,51.805281095135676,0.0,0.0,52.877461559698276,0,73.1862482568446,73.1862482568446,51.805281095135676,1
ULTA,389.6400146484375,1,0.0762779552715655,0.9237220447284344,0.1465448768864178,0.0426065162907268,0.4957689690843958,0.0677281872010521,0,0,0,0,0,0,0,0,0,1.0,1,0.06911744195842144,2.1012011351985698,0.4957689690843958,1.642641962629202,0.0677281872010521,1.9291889944000276,2.837259204234844,3.9776796426562453,3.4074694234455447,0.0,0.0,0.0012628290668964324,0.0,0.0,392.5721594130934,0,1,0.0,0.0,0.0,392.5721594130934,0,13.045781958480283,13.045781958480283,384.52660743818365,0
HCA,245.3800048828125,0,0.0447284345047923,0.9552715654952076,0.2962668784749801,0.0697577276524644,0.6866700114017141,1.5933915698575116,0,0,0,0,0,0,0,0,0,1.0,1,0.07487307643534682,1.9716075141628622,0.6866700114017141,1.8335430049465202,1.5933915698575116,3.454852377056487,3.3045072752791906,11.52316122535626,7.413834250317725,0.0,0.0,0.028260142798656056,0.0,0.0,247.272171796659,0,1,242.24759656511935,0.0,0.0,247.272171796659,0,291.9442311957962,291.9442311957962,242.24759656511935,1
