stock,price,direction,RSI,RSIRev,fair_value_mult,geomean,sharpe,weighted_sharpe,et,schwab,rollover,roth,simple,fid,Owned,inEt,inFid,in_self_managed,currentlyActive,et_status,et_status_scaled,fid_status,fid_status_scaled,schwab_status,schwab_status_scaled,sharpe_capped,sharpe_scaled,weighted_sharpe_capped,weighted_sharpe_scaled,et_sharpe_adj_status,et_w_sharpe_adj_status,et_mean_sharpe_adj_status,fid_sharpe_adj_status,fid_w_sharpe_adj_status,fid_mean_sharpe_adj_status,schwab_sharpe_adj_status,schwab_w_sharpe_adj_status,schwab_mean_sharpe_adj_status,et_norm,fid_norm,schwab_norm,et_target,et_diff,et_bid_ask,et_nshares,up_down,exact_amt,fid_target,fid_diff,fid_bid_ask,fid_nshares,schwab_target,schwab_diff,schwab_bid_ask,schwab_nshares
GMED,44.91999816894531,1,0.152616859768278,0.8473831402317219,0.1839491458085022,0.0363560384454659,0.4236818427425748,2.2292817626030885,4672,90,0,3953,0,3953,8715,1.0,1.0,1.0,1,0.0772111841405818,1.923072921162424,0.0774264124775308,1.9187147314602573,0.0733815296072011,2.003755177447941,0.4236818427425748,1.5399127961885477,2.2292817626030885,6.092344580942452,2.293869602262071,32.299644462607866,17.296757032434968,2.2895576460640923,32.0462710986682,17.167914372366145,2.37517895681953,37.36938260203944,19.872280779429484,0.0498960886573108,0.0159523611617528,0.009960869763996,5074.1627775697625,402.1627775697625,45.38939339802207,9,1,0.0,2125.863812636187,-1827.136187363813,47.29257418755777,-39,94.26827692469143,4.268276924691435,45.38939339802207,0
CHWY,17.420000076293945,1,0.1863186318631863,0.8136813681368137,0.1404444444444444,0.0419580419580419,0.0872451261627986,2.0692719940140667,3937,0,0,3589,0,3589,7526,1.0,1.0,1.0,1,0.0841078234214031,1.79181814773557,0.0837096632371292,1.7989519767957145,0.0800949366013634,1.8661359113743197,0.0872451261627986,1.2034760796087711,2.0692719940140667,5.93233481235343,1.3935716582267823,24.292922189817094,12.84324692402194,1.3954141815763106,24.603439167198527,12.99942667438742,1.4128863767535391,27.72963547516038,14.57126092595696,0.0498960886573108,0.0087406011633426,0.009960869763996,5074.1627775697625,1137.1627775697625,17.849629546515082,64,1,89.2481477325754,1164.8010927928494,-2424.1989072071506,19.66588530755616,-123,94.26827692469143,94.26827692469143,17.849629546515082,5
STE,200.94000244140625,0,0.1326408310027966,0.8673591689972033,0.6285260230433055,0.0497283744254074,0.7551994232694494,0.5752113432428464,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.1033562784034937,1.4984406842957794,0.1054474609139035,1.471619509932462,0.099198893054756,1.5543414683908297,0.7551994232694494,1.8714303767154223,0.5752113432428464,4.4382741615822106,2.5576205172720763,9.328503479708376,5.943061998490227,2.51498899839315,8.962990475990916,5.738989737192033,2.648810132251441,10.138921369788358,6.3938657510199,0.0,0.0,0.009960869763996,0.0,0.0,209.7590803081555,0,1,0.0,0.0,0.0,209.7590803081555,0,94.26827692469143,94.26827692469143,202.50535089884212,0
CSCO,48.380001068115234,0,0.0898921294446664,0.9101078705553336,0.7000397298371077,0.0898453823652319,0.5563447889424498,0.1870010147513534,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.1250221218634082,1.2553286130493668,0.1301098744038218,1.207603339156429,0.1250192035028135,1.25535686110752,0.5563447889424498,1.6725757423884229,0.1870010147513534,4.050063833090717,1.9073156785166905,5.7884763665314445,3.847896022524068,1.8610645239697408,5.41468230540376,3.637873414686751,1.907343391646247,5.788705082323949,3.848024236985098,0.0,0.0,0.0043656459093691,0.0,0.0,50.5948570865229,0,1,49.32318857720813,0.0,0.0,50.5948570865229,0,41.3158616958425,41.3158616958425,49.32318857720813,1
SE,36.220001220703125,0,0.181758530183727,0.818241469816273,0.1553966189856957,0.1492220650636492,0.5290995807136597,2.0337600095286965,1268,0,0,471,0,471,1739,1.0,1.0,1.0,1,0.1615546451108289,0.9667388857576088,0.1607726385076798,0.971819967941306,0.1605509239391449,0.9732675878868428,0.5290995807136597,1.6453305341596325,2.0337600095286965,5.896822827868061,1.6183048528977324,5.558869305469602,3.588587079183667,1.6224044786984313,5.609214360882518,3.615809419790475,1.6235743777160114,5.623641139863317,3.623607758789664,0.0498960886573108,0.0099212640788627,0.009960869763996,5074.1627775697625,3806.1627775697625,38.38898287963577,99,1,76.77796575927154,1322.1400936827831,851.1400936827831,38.38898287963577,22,94.26827692469143,94.26827692469143,38.38898287963577,2
OKTA,67.05000305175781,0,0.1704819277108433,0.8295180722891566,0.1720430107526881,0.1483870967741935,0.5657960168140634,2.175184621800464,1676,67,201,1810,0,2011,3754,1.0,1.0,1.0,1,0.1631241773594152,0.9566558503362956,0.1631698764175935,0.9563645390075678,0.1623779008681542,0.961431127524164,0.5657960168140634,1.6820269702600363,2.175184621800464,6.038247440139827,1.6445399110125325,5.5855119684175145,3.6150259397150233,1.6442908120580573,5.582586982372014,3.613438897215036,1.648628611791397,5.633678415953488,3.6411535138724425,0.0498960886573108,0.0110549761260176,0.009960869763996,5074.1627775697625,3398.1627775697625,70.17282747677368,48,1,0.0,1473.2222683250502,-537.7777316749498,75.58561825424421,-7,94.26827692469143,27.268276924691435,70.17282747677368,0
CF,75.1500015258789,0,0.0815021973631642,0.9184978026368358,0.7063965037743345,0.4329293773506059,0.4019133179008108,-1.2571849255364502,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.1800018028101694,0.8570046289874989,0.1921092369935687,0.7939907866753931,0.1910505335215974,0.7992557457352945,0.4019133179008108,1.5181442713467836,-1.2571849255364502,2.6058778928029134,1.4301649127069769,2.2723465023493987,1.851255707528188,1.3930313405545052,2.139260599700531,1.7661459701275182,1.3960966760675166,2.1500753177056766,1.7730859968865966,0.0,0.0,0.0003298819109286,0.0,0.0,80.94535720137988,0,1,0.0,0.0,0.0,80.94535720137988,0,3.12195622156102,3.12195622156102,76.84410816958558,0
CPNG,15.279999732971191,0,0.1352154531946508,0.8647845468053492,0.3391557496360989,0.3836589698046181,-0.3807788100634814,-2.706191041403529,0,0,0,0,0,0,0,0.0,1.0,1.0,1,0.2264402742105056,0.6439044276815313,0.2340429247651055,0.6151575215428025,0.2346488221779366,0.6129246501582571,-0.1162309534459728,1.0,-2.706191041403529,1.1568717769358343,1.0,1.0983724656241405,1.0491862328120702,1.0,1.0937810198067917,1.0468905099033958,1.0,1.0934251907052897,1.0467125953526448,0.0,9.058920740422325e-06,6.9745136225282194e-06,0.0,0.0,17.970909960063494,0,1,0.0,1.2072214005395,1.2072214005395,16.0784207599194,0,0.0660058204916999,0.0660058204916999,16.0784207599194,0
USAC,23.809999465942383,0,0.1058729524570515,0.8941270475429485,0.8021454112038141,0.4972837442540744,0.456652473419065,1.653631399976081,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.2271496193186941,0.6411633441004182,0.2416677288752624,0.5876464282892272,0.2402363941053581,0.5927155830275326,0.456652473419065,1.572883426865038,1.653631399976081,5.516694218315445,1.3369482867428146,2.989078575368637,2.1630134310557256,1.3049324082980376,2.728003755080623,2.0164680816893306,1.3079318098009054,2.751722588821712,2.029827199311309,0.0,0.0,0.0081763534659837,0.0,0.0,25.37494433321517,0,1,72.20090614504473,0.0,0.0,25.37494433321517,0,77.37986451258494,77.37986451258494,24.06696871501491,3
TGLS,34.849998474121094,1,0.5964842189372753,0.4035157810627247,0.866507747318236,0.1115754283326368,0.5463461991395393,1.4521514522151713,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.2591812034965158,0.528853952625534,0.2603182457848293,0.5252280872308575,0.2442993619081026,0.5784366237705592,0.5463461991395393,1.6625771525855122,1.4521514522151713,5.315214270554534,1.308462654883933,2.419326767532896,1.8638947112084143,1.3060530169995594,2.4047165361424567,1.855384776571008,1.3418633264346271,2.6282567508488826,1.985060038641755,0.0,0.0,0.0068647682601428,0.0,0.0,38.21275282939836,0,1,71.11838530320355,0.0,0.0,38.21275282939836,0,64.96720574643506,64.96720574643506,35.559192651601776,2
STZ,240.4900054931641,1,0.4670395525369556,0.5329604474630443,0.8299562971791815,0.1504387797743418,0.6457100699405092,2.441880380781652,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.3037022524878079,0.4007723459156158,0.306513728423872,0.3934946429787029,0.2908620495985511,0.435096724951507,0.6457100699405092,1.761941023386482,2.441880380781652,6.304943199121015,1.254834750928274,2.09165523494351,1.673244992935892,1.2496727081577617,2.063812600976774,1.656742654567268,1.2794697966228548,2.2281204348906187,1.7537951157567369,0.0,0.0,0.009960869763996,0.0,0.0,250.70701718335704,0,1,0.0,0.0,0.0,250.70701718335704,0,94.26827692469143,94.26827692469143,243.3559257147857,0
GOOG,133.9199981689453,0,0.2656811825809029,0.7343188174190971,0.2467222884386174,0.4316757208524864,0.7246511807967382,1.8040083974603247,0,0,0,937,0,937,937,0.0,1.0,1.0,1,0.2949573358700353,0.4239476027518253,0.2941478542092129,0.4261358759253862,0.2990759814823513,0.4129284290145571,0.7246511807967382,1.840882134242711,1.8040083974603247,5.667071215799689,1.2952605255075047,2.08633768305301,1.6907991042802577,1.2969913491380274,2.0942723400233043,1.695631844580666,1.286579901655464,2.046836779587776,1.66670834062162,0.0,0.0067656155504156,0.0074963042772339,0.0,0.0,142.96681120607926,0,1,137.28587044995515,901.608051811246,-35.3919481887541,142.96681120607926,0,70.9439741971433,70.9439741971433,137.28587044995515,1
