stock,direction,RSI,RSIRev,fair_value_mult,dev_quantile,drop,climb,geomean,score,sharpe
AAPL,1,8255.627009646303,1744.3729903536969,0.848966613672496,0.848966613672496,0.9404761904761905,0.5590828924162258,0.7251235403846863,0.784605427316558,1.3404174760539465
ABMD,0,2475.8842443729905,7524.11575562701,0.1875993640699523,0.1875993640699523,0.5361552028218695,0.36772486772486773,0.44402432482654774,0.28861510869850576,0.7591200707542771
ABNB,1,8928.57142857143,1071.4285714285706,0.7226890756302521,0.7226890756302521,0.9035087719298246,0.9649122807017544,0.9337059011042226,0.8214493621517532,0.9933554439920654
ADSK,1,6012.861736334405,3987.1382636655953,0.5127186009538951,0.5127186009538951,0.5802469135802469,0.31922398589065254,0.43038207740777895,0.4697498234210923,0.9719855591133869
AMZN,1,8167.202572347267,1832.797427652733,0.9220985691573926,0.9220985691573926,0.716931216931217,0.36684303350970016,0.5128364480386008,0.6876668924327777,1.1999996820814587
ANET,0,8.038585209003216,9991.961414790996,0.000794912559618442,0.000794912559618442,0.0008818342151675485,0.007936507936507936,0.0026455026455026454,0.0014501528469143753,0.5269476285095968
APPH,1,3600.0,6400.0,0.1813186813186813,0.1813186813186813,0.0625,0.125,0.08838834764831845,0.12659565016038374,-0.03708782765271759
AXON,1,4437.299035369775,5562.700964630225,0.24324324324324326,0.24324324324324326,0.5731922398589065,0.3765432098765432,0.46457684603604404,0.3361624291403253,0.9901165091065732
BBY,1,8826.36655948553,1173.6334405144698,0.8863275039745628,0.8863275039745628,0.9126984126984127,0.5714285714285714,0.7221786137191952,0.8000542282380265,0.8229117519468551
BROS,0,303.030303030303,9696.969696969696,0.02127659574468085,0.02127659574468085,1.0,1.0,1.0,0.14586499149789456,1.335282756214944
BYND,0,364.5007923930269,9635.499207606974,0.07596899224806201,0.07596899224806201,0.14587332053742802,0.023032629558541268,0.05796417992530326,0.0663587246367095,0.4683576179931296
CDNS,1,7877.813504823152,2122.1864951768484,0.9014308426073132,0.9014308426073132,0.7619047619047619,0.810405643738977,0.7857810884968031,0.8416218323621155,1.374419942190403
COUR,1,4630.872483221477,5369.127516778523,0.4110429447852761,0.4110429447852761,0.5897435897435898,0.5897435897435898,0.5897435897435898,0.4923514413469761,-0.424402762471513
CRWD,0,2935.323383084577,7064.676616915423,0.3419773095623987,0.3419773095623987,0.5030425963488844,0.10344827586206896,0.22812033946465798,0.279306247596764,1.2158586348651763
DDOG,1,8295.880149812734,1704.119850187266,0.6806569343065694,0.6806569343065694,0.7688679245283019,0.6721698113207547,0.7188948516721823,0.6995146644838574,1.5703872412763136
DKNG,0,69.80802792321117,9930.19197207679,0.034071550255536626,0.034071550255536626,0.008639308855291577,0.01079913606911447,0.00965904093952393,0.018141072151096123,1.2258429607340908
DOCU,0,2790.960451977401,7209.039548022599,0.3114571746384872,0.3114571746384872,0.36258064516129035,0.33806451612903227,0.3501080552689469,0.3302176035771587,1.3015988872495852
DUOL,0,298.5074626865671,9701.492537313432,0.16049382716049382,0.16049382716049382,1.0,1.0,1.0,0.40061680838488767,0.48975010839545025
EDIT,0,1607.717041800643,8392.282958199357,0.18521462639109698,0.18521462639109698,0.06966490299823633,0.0890652557319224,0.07877006030896185,0.12078645325916539,0.5920597444433678
ETSY,1,8954.983922829582,1045.0160771704177,0.93879173290938,0.93879173290938,0.9426807760141094,0.6675485008818343,0.793274945298503,0.8629715873482598,1.3753356779353958
FTCH,1,8173.690932311622,1826.3090676883776,0.7628607277289837,0.7628607277289837,0.6419019316493314,0.3774145616641902,0.49220233254712376,0.6127657216235273,0.549771375503024
FUV,0,2782.608695652174,7217.391304347826,0.29075309818875117,0.29075309818875117,0.41405405405405404,0.3362162162162162,0.3731108245053187,0.32936777042188087,0.6401888735553606
FVRR,1,2574.7508305647843,7425.249169435216,0.2922077922077922,0.2922077922077922,0.1524390243902439,0.03861788617886179,0.07672595970803607,0.14973283972231757,1.3181371324636586
GH,0,904.3927648578812,9095.607235142119,0.13959390862944163,0.13959390862944163,0.4036144578313253,0.0391566265060241,0.1257146792452362,0.13247265169814884,0.9248445167486061
GMED,0,217.04180064308684,9782.958199356914,0.04133545310015898,0.04133545310015898,0.16666666666666666,0.010582010582010581,0.0419960525565808,0.041664443604161536,0.9070893250934142
GOOG,1,7307.073954983924,2692.9260450160764,0.7909379968203497,0.7909379968203497,0.9338624338624338,0.6305114638447972,0.7673401919645993,0.7790497508581996,1.158141183938569
INTG,1,6535.369774919614,3464.6302250803856,0.6581875993640699,0.6581875993640699,0.6014109347442681,0.9241622574955908,0.7455208160311798,0.7004945083150221,0.5264386118490061
ISRG,1,5675.24115755627,4324.75884244373,0.5516693163751988,0.5516693163751988,0.7442680776014109,0.5776014109347443,0.6556601953270189,0.6014213263016916,1.1909892510730902
JD,1,7942.122186495176,2057.877813504824,0.9085850556438791,0.9085850556438791,0.9625220458553791,0.6525573192239859,0.7925281105029478,0.8485748036447106,0.7953355921325516
LSPD,0,69.68641114982579,9930.313588850175,0.006644518272425249,0.006644518272425249,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.006126961013148347,1.245376910555771
LULU,1,5956.5916398713825,4043.4083601286175,0.5437201907790143,0.5437201907790143,0.6261022927689595,0.6878306878306878,0.6562410918920303,0.5973370335753203,1.2722227440662235
MDB,1,6719.211822660098,3280.788177339902,0.6511175898931001,0.6511175898931001,0.7779005524861878,0.8077348066298342,0.7926773317937584,0.7184192048104263,1.5061177353634068
MELI,0,892.2829581993568,9107.717041800643,0.05246422893481717,0.05246422893481717,0.09259259259259259,0.10052910052910052,0.09647927263920883,0.07114570013154761,1.1393158169782331
MNST,1,3070.739549839228,6929.260450160772,0.2726550079491256,0.2726550079491256,0.30511463844797176,0.11904761904761904,0.19058638787648544,0.22795686675653856,0.629451178526709
MSFT,1,9445.337620578779,554.662379421221,0.8926868044515104,0.8926868044515104,0.9113756613756614,0.9206349206349206,0.9159935915055194,0.9042651116233138,1.4553484236836904
MTCH,0,884.2443729903538,9115.755627009647,0.06041335453100159,0.06041335453100159,0.18959435626102292,0.09611992945326278,0.13499554121727983,0.09030799240191294,1.1427793675493838
NVCR,1,3818.327974276527,6181.672025723473,0.4697933227344992,0.4697933227344992,0.017195767195767195,0.09611992945326278,0.0406553308897108,0.13820131325551058,1.1164391944329604
NVDA,1,9381.028938906751,618.9710610932489,0.9507154213036566,0.9507154213036566,0.9329805996472663,0.935626102292769,0.9343024146189188,0.9424731899313895,1.363053888435739
NYT,0,434.0836012861737,9565.916398713827,0.02702702702702703,0.02702702702702703,0.1728395061728395,0.3306878306878307,0.23907304606218624,0.08038304346910724,0.9960865246382945
