stock,buy_pt_up_p30,buy_pt_up_p40,buy_pt_up_p50,buy_pt_up_p61,buy_pt_up_p73,buy_pt_up_p84,buy_pt_up_p95,sell_pt_up_p30,sell_pt_up_p40,sell_pt_up_p50,sell_pt_up_p61,sell_pt_up_p73,sell_pt_up_p84,sell_pt_up_p95,buy_pt_down_p30,buy_pt_down_p40,buy_pt_down_p50,buy_pt_down_p61,buy_pt_down_p73,buy_pt_down_p84,buy_pt_down_p95,sell_pt_down_p30,sell_pt_down_p40,sell_pt_down_p50,sell_pt_down_p61,sell_pt_down_p73,sell_pt_down_p84,sell_pt_down_p95,price
AAPL,151.75,152.15,152.66,153.35,153.62,153.75,154.68,157.44,157.05,156.64,156.03,155.34,154.27,153.23,150.83,151.39,151.9,152.66,154.2,154.6,155.95,157.74,156.88,155.8,155.64,155.17,154.81,153.46,154.5
ABMD,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ABNB,115.8,116.06,117.27,117.55,118.12,119.02,120.25,123.36,121.6,121.39,119.76,119.27,118.56,117.77,115.33,115.99,116.43,116.86,117.51,118.73,119.32,121.14,120.91,120.28,119.72,119.01,118.61,117.26,118.7
ACN,283.14,284.27,285.09,286.27,288.27,289.37,290.44,293.26,292.16,291.66,290.11,288.99,288.01,286.91,285.33,286.27,286.71,287.54,288.93,289.42,291.97,296.3,294.35,293.7,291.64,289.7,287.97,286.07,289.22
ADBE,369.53,371.78,373.18,375.54,376.86,379.1,381.82,387.22,386.09,383.21,381.0,378.96,378.27,376.62,372.98,373.74,375.13,376.45,379.27,381.4,389.0,390.21,388.72,386.06,384.42,381.94,379.73,378.31,379.33
ADYEY,16.72,16.82,16.95,17.0,17.14,17.25,17.95,17.57,17.47,17.26,17.22,17.09,17.03,16.81,16.94,17.02,17.07,17.14,17.22,17.39,17.61,17.72,17.66,17.61,17.5,17.29,17.04,16.91,17.21
AGI,10.44,10.48,10.54,10.55,10.64,10.68,10.74,10.9,10.85,10.83,10.77,10.71,10.64,10.57,10.44,10.47,10.5,10.55,10.59,10.71,10.93,10.96,10.93,10.85,10.77,10.74,10.71,10.63,10.65
AMD,83.65,84.02,84.23,84.91,85.6,85.84,88.04,89.33,88.08,87.78,87.0,86.4,85.43,84.67,83.85,84.02,84.54,84.71,85.16,86.08,87.98,88.76,88.05,87.34,86.84,86.33,85.77,85.06,86.09
AMEH,35.34,35.42,35.54,35.72,35.95,36.4,36.62,37.67,37.53,37.09,36.8,36.69,36.54,36.36,35.37,35.5,35.62,35.67,35.97,36.26,36.45,37.53,37.44,37.39,37.24,36.95,36.76,36.17,36.35
AMGN,241.07,241.74,242.21,242.99,244.05,244.88,246.26,247.29,246.64,246.26,246.03,245.67,245.19,244.88,241.73,241.96,242.51,242.84,243.44,243.99,244.82,247.65,247.29,246.87,246.36,245.83,245.29,244.65,245.17
AMZN,100.68,101.51,101.72,102.18,102.94,103.41,104.27,106.64,105.78,104.51,104.14,103.78,103.24,102.8,100.83,101.33,101.61,102.28,102.67,103.4,104.51,105.93,105.39,104.79,104.39,103.52,103.25,102.31,103.39
ANET,129.07,129.52,130.44,130.64,131.21,131.56,132.78,135.05,134.75,133.57,133.31,132.21,132.0,131.07,129.43,129.7,130.14,130.63,131.34,132.31,133.55,134.87,134.14,133.39,132.56,132.04,131.52,130.41,131.96
AORT,13.58,13.67,13.76,13.85,13.91,13.98,14.22,14.46,14.36,14.32,14.26,14.19,14.14,14.07,13.66,13.7,13.78,13.86,13.91,13.98,14.16,14.48,14.47,14.36,14.31,14.22,14.12,14.0,14.03
APPS,16.07,16.39,16.64,16.79,16.96,17.15,17.24,17.82,17.55,17.48,17.46,17.36,17.12,16.87,16.49,16.63,16.89,17.07,17.26,17.3,17.75,18.26,17.86,17.73,17.57,17.4,17.24,17.14,17.28
APT,4.14,4.15,4.17,4.18,4.2,4.2,4.21,4.27,4.26,4.25,4.24,4.24,4.22,4.21,4.15,4.17,4.17,4.18,4.2,4.2,4.21,4.28,4.27,4.27,4.26,4.25,4.25,4.2,4.21
ASML,664.83,667.05,671.37,674.53,676.91,679.7,688.06,695.68,692.58,690.46,684.41,683.01,676.02,668.96,662.87,667.21,669.76,675.09,680.97,687.2,699.57,702.3,688.57,682.86,680.7,679.29,674.32,672.38,679.62
ATVI,74.49,74.62,74.85,75.01,75.1,75.2,75.37,75.96,75.91,75.74,75.62,75.38,75.04,74.88,74.61,74.82,74.86,74.88,75.05,75.21,75.41,75.99,75.67,75.51,75.47,75.42,75.28,75.24,75.24
AXON,193.6,194.47,195.14,195.74,196.53,197.53,198.69,202.52,202.25,201.76,200.86,199.75,199.28,198.47,195.02,195.73,196.69,197.17,198.01,198.71,199.37,203.19,202.24,201.76,201.15,200.4,199.46,197.58,198.19
BHC,7.59,7.65,7.68,7.72,7.77,7.81,7.82,8.14,8.09,8.02,7.97,7.91,7.84,7.78,7.57,7.61,7.68,7.74,7.83,7.85,7.92,8.26,8.11,8.05,7.95,7.89,7.85,7.81,7.86
BROS,37.7,37.88,38.06,38.16,38.54,38.94,39.19,40.58,40.1,39.82,39.59,39.34,38.96,38.5,37.33,37.84,37.92,38.17,38.26,38.58,40.17,39.99,39.66,39.58,39.22,39.13,38.85,38.42,38.86
BRTX,2.97,3.01,3.05,3.07,3.11,3.13,3.15,3.27,3.24,3.22,3.19,3.18,3.15,3.1,3.01,3.03,3.05,3.07,3.14,3.17,3.29,3.41,3.31,3.26,3.25,3.22,3.14,3.08,3.14
BTTR,0.7,0.71,0.72,0.72,0.74,0.75,0.77,0.8,0.79,0.78,0.76,0.75,0.75,0.74,0.68,0.68,0.7,0.71,0.72,0.74,0.75,0.78,0.78,0.78,0.77,0.76,0.75,0.73,0.74
BYND,18.44,18.57,18.6,18.67,19.04,19.34,19.55,20.8,20.38,20.23,20.06,19.77,19.4,19.17,18.45,18.73,18.84,18.9,19.15,19.33,19.57,20.27,20.18,19.97,19.83,19.47,19.4,19.35,19.42
